group,fte,fy,basis,doc_id,page,notes
All Funds - 1000 Instruction,3445.61,2023-24,adopted,budget-fy2024-25-vol1,92,"Budget FTE column of Summary of Requirements by Major Function - All Funds; 2023-24 columns are from the 2023-24 Adopted Budget (p78)"
All Funds - 2000 Support Services,2511.98,2023-24,adopted,budget-fy2024-25-vol1,92,
All Funds - 3000 Enterprise and Community Services,238.87,2023-24,adopted,budget-fy2024-25-vol1,92,
All Funds - 4000 Facilities Acquisition and Construction,50.00,2023-24,adopted,budget-fy2024-25-vol1,92,
All Funds - Total,6246.46,2023-24,adopted,budget-fy2024-25-vol1,92,"also grand total on p222"
All Funds - 1000 Instruction,3370.72,2024-25,adopted,budget-fy2024-25-vol1,92,
All Funds - 2000 Support Services,2373.60,2024-25,adopted,budget-fy2024-25-vol1,92,
All Funds - 3000 Enterprise and Community Services,230.27,2024-25,adopted,budget-fy2024-25-vol1,92,
All Funds - 4000 Facilities Acquisition and Construction,43.50,2024-25,adopted,budget-fy2024-25-vol1,92,
All Funds - Total,6018.09,2024-25,adopted,budget-fy2024-25-vol1,92,"also grand total on p222"
All Funds - Total,6630.58,2020-21,actual-budgetary,budget-fy2024-25-vol1,222,"FTE by Major Function and Employee Type grand total (Actuals column)"
All Funds - Total,6274.09,2021-22,actual-budgetary,budget-fy2024-25-vol1,222,
All Funds - Total,6519.66,2022-23,actual-budgetary,budget-fy2024-25-vol1,222,
All Funds - Employee Type: 111 Licensed Salaries,3493.29,2023-24,adopted,budget-fy2024-25-vol1,93,"Budget FTE column of Summary of Requirements by Major Object - All Funds"
All Funds - Employee Type: 1121 Classified - Represented,1928.71,2023-24,adopted,budget-fy2024-25-vol1,93,
All Funds - Employee Type: 1122 Non-Represented Staff,546.97,2023-24,adopted,budget-fy2024-25-vol1,93,
All Funds - Employee Type: 113 Administrators,277.50,2023-24,adopted,budget-fy2024-25-vol1,93,
All Funds - Employee Type: 111 Licensed Salaries,3410.58,2024-25,adopted,budget-fy2024-25-vol1,93,
All Funds - Employee Type: 1121 Classified - Represented,1818.49,2024-25,adopted,budget-fy2024-25-vol1,93,
All Funds - Employee Type: 1122 Non-Represented Staff,517.38,2024-25,adopted,budget-fy2024-25-vol1,93,
All Funds - Employee Type: 113 Administrators,271.65,2024-25,adopted,budget-fy2024-25-vol1,93,
General Fund - 1000 Instruction,2886.28,2023-24,adopted,budget-fy2024-25-vol1,100,"Budget FTE column of Summary of Requirements by Major Function - General Funds"
General Fund - 2000 Support Services,2139.72,2023-24,adopted,budget-fy2024-25-vol1,100,
General Fund - 3000 Enterprise and Community Services,17.55,2023-24,adopted,budget-fy2024-25-vol1,100,
General Fund - Total,5043.55,2023-24,adopted,budget-fy2024-25-vol1,100,
General Fund - 1000 Instruction,2868.48,2024-25,adopted,budget-fy2024-25-vol1,100,
General Fund - 2000 Support Services,2024.97,2024-25,adopted,budget-fy2024-25-vol1,100,
General Fund - 3000 Enterprise and Community Services,18.15,2024-25,adopted,budget-fy2024-25-vol1,100,
General Fund - Total,4911.60,2024-25,adopted,budget-fy2024-25-vol1,100,
Special Revenue Funds - Total,1148.84,2023-24,adopted,budget-fy2024-25-vol1,113,"Budget FTE column of fund 200 requirements summary"
Special Revenue Funds - Total,1056.19,2024-25,adopted,budget-fy2024-25-vol1,113,
Capital Projects Funds - Total,51.80,2023-24,adopted,budget-fy2024-25-vol1,156,
Capital Projects Funds - Total,46.30,2024-25,adopted,budget-fy2024-25-vol1,156,
Internal Service Funds - Total,2.28,2023-24,adopted,budget-fy2024-25-vol1,192,
Internal Service Funds - Total,4.00,2024-25,adopted,budget-fy2024-25-vol1,192,
