source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,64474,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,"native unit thousands; Summary of Resources by Major Object - General Funds"
Current Year Property Taxes Other Than Local Option,281443,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,
Current Year Local Option Property Taxes,100955,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,
Other Revenue From Local Sources,13925,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue - Intermediate Sources (2000),14374,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue From State Sources (3000),269250,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue From Federal Sources (4000),18,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,
All Other Budget Resources,152,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,
Total Resources,744589,2020-21,actual-budgetary,budget-fy2024-25-vol1,99,
Beginning Fund Balance,88691,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,
Current Year Property Taxes Other Than Local Option,299770,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,
Current Year Local Option Property Taxes,104719,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,
Other Revenue From Local Sources,16303,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue - Intermediate Sources (2000),12796,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue From State Sources (3000),265008,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,
Revenue From Federal Sources (4000),21,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,
All Other Budget Resources,400953,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,"includes 399390 Series 2021 pension bond proceeds (451100 detail p103)"
Total Resources,1188261,2021-22,actual-budgetary,budget-fy2024-25-vol1,99,
Beginning Fund Balance,98804,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
Current Year Property Taxes Other Than Local Option,311938,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
Current Year Local Option Property Taxes,109213,2022-23,actual-budgetary,budget-fy2024-25-vol1,99,
