object_code,label,amount_k,fy,basis,doc_id,page,notes
111,Licensed Salaries,245595,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,"native unit thousands; Summary of Requirements by Major Object - General Funds"
1121,Classified - Represented,51048,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
1122,Non-Represented Staff,28736,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
113,Administrators,30738,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
100,Other Salaries,15208,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,"printed without code as OTHER SALARIES"
200,Associated Payroll Costs,189914,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
300,Purchased Services,79002,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
400,Supplies and Materials,6908,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
500,Capital Outlay,1092,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
600,Other Objects,6458,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
700,Transfers,1198,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
581000,Operating Contingency,0,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,"printed as dash"
376520,Budgeted Ending Fund Balance,88691,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
TOTAL,Total Requirements,744589,2020-21,actual-budgetary,budget-fy2024-25-vol1,101,
111,Licensed Salaries,241282,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
1121,Classified - Represented,55669,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
1122,Non-Represented Staff,31458,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
113,Administrators,32336,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
100,Other Salaries,27026,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
200,Associated Payroll Costs,185132,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
300,Purchased Services,87698,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
400,Supplies and Materials,17800,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
500,Capital Outlay,1861,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
600,Other Objects,407988,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,"2021 pension bond pass-through"
700,Transfers,1207,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
581000,Operating Contingency,0,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,"printed as dash"
376520,Budgeted Ending Fund Balance,98804,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
TOTAL,Total Requirements,1188261,2021-22,actual-budgetary,budget-fy2024-25-vol1,101,
111,Licensed Salaries,245309,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
1121,Classified - Represented,58986,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
1122,Non-Represented Staff,34823,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
113,Administrators,34163,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
100,Other Salaries,28478,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
200,Associated Payroll Costs,188552,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
300,Purchased Services,106798,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
400,Supplies and Materials,14633,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
500,Capital Outlay,3207,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
600,Other Objects,8311,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
700,Transfers,1282,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
581000,Operating Contingency,0,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,"printed as dash"
376520,Budgeted Ending Fund Balance,105497,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
TOTAL,Total Requirements,830038,2022-23,actual-budgetary,budget-fy2024-25-vol1,101,
111,Licensed Salaries,260753,2023-24,adopted,budget-fy2024-25-vol1,101,"2023-24 budget columns are from the 2023-24 Adopted Budget (p78)"
1121,Classified - Represented,62573,2023-24,adopted,budget-fy2024-25-vol1,101,
1122,Non-Represented Staff,39863,2023-24,adopted,budget-fy2024-25-vol1,101,
113,Administrators,37308,2023-24,adopted,budget-fy2024-25-vol1,101,
100,Other Salaries,29665,2023-24,adopted,budget-fy2024-25-vol1,101,
200,Associated Payroll Costs,220866,2023-24,adopted,budget-fy2024-25-vol1,101,
300,Purchased Services,110940,2023-24,adopted,budget-fy2024-25-vol1,101,
400,Supplies and Materials,14151,2023-24,adopted,budget-fy2024-25-vol1,101,
500,Capital Outlay,3184,2023-24,adopted,budget-fy2024-25-vol1,101,
600,Other Objects,10333,2023-24,adopted,budget-fy2024-25-vol1,101,
700,Transfers,1075,2023-24,adopted,budget-fy2024-25-vol1,101,
581000,Operating Contingency,43063,2023-24,adopted,budget-fy2024-25-vol1,101,
376520,Budgeted Ending Fund Balance,0,2023-24,adopted,budget-fy2024-25-vol1,101,"printed as dash"
TOTAL,Total Requirements,833774,2023-24,adopted,budget-fy2024-25-vol1,101,
111,Licensed Salaries,278943,2024-25,proposed,budget-fy2024-25-vol1,101,
1121,Classified - Represented,68871,2024-25,proposed,budget-fy2024-25-vol1,101,
1122,Non-Represented Staff,40939,2024-25,proposed,budget-fy2024-25-vol1,101,
113,Administrators,40210,2024-25,proposed,budget-fy2024-25-vol1,101,
100,Other Salaries,14955,2024-25,proposed,budget-fy2024-25-vol1,101,
200,Associated Payroll Costs,223683,2024-25,proposed,budget-fy2024-25-vol1,101,
300,Purchased Services,109389,2024-25,proposed,budget-fy2024-25-vol1,101,
400,Supplies and Materials,13783,2024-25,proposed,budget-fy2024-25-vol1,101,
500,Capital Outlay,3035,2024-25,proposed,budget-fy2024-25-vol1,101,
600,Other Objects,4730,2024-25,proposed,budget-fy2024-25-vol1,101,
700,Transfers,11918,2024-25,proposed,budget-fy2024-25-vol1,101,
581000,Operating Contingency,42656,2024-25,proposed,budget-fy2024-25-vol1,101,
