object_code,label,amount_k,fy,basis,doc_id,page,notes
111,Licensed Salaries,241282,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,native unit thousands; Summary of Requirements by Major Object - 100 General Fund
111,Licensed Salaries,245309,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,
111,Licensed Salaries,260283,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,
111,Licensed Salaries,278943,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
111,Licensed Salaries,280529,2025-26,proposed,budget-fy2025-26-vol1,100,
111,Licensed Salaries,280529,2025-26,approved,budget-fy2025-26-vol1,100,
111,Licensed Salaries,280529,2025-26,adopted,budget-fy2025-26-vol1,100,
1121,Classified - Represented,55669,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,
1121,Classified - Represented,58986,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,
1121,Classified - Represented,64252,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,
1121,Classified - Represented,68871,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
1121,Classified - Represented,69907,2025-26,proposed,budget-fy2025-26-vol1,100,
1121,Classified - Represented,69907,2025-26,approved,budget-fy2025-26-vol1,100,
1121,Classified - Represented,69907,2025-26,adopted,budget-fy2025-26-vol1,100,
1122,Non-Represented Staff,31458,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,
1122,Non-Represented Staff,34823,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,
1122,Non-Represented Staff,36772,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,
1122,Non-Represented Staff,40803,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
1122,Non-Represented Staff,39886,2025-26,proposed,budget-fy2025-26-vol1,100,
1122,Non-Represented Staff,39886,2025-26,approved,budget-fy2025-26-vol1,100,
1122,Non-Represented Staff,39886,2025-26,adopted,budget-fy2025-26-vol1,100,
113,Administrators,32336,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,
113,Administrators,34163,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,
113,Administrators,37512,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,
113,Administrators,39741,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
113,Administrators,38740,2025-26,proposed,budget-fy2025-26-vol1,100,
113,Administrators,38740,2025-26,approved,budget-fy2025-26-vol1,100,
113,Administrators,38740,2025-26,adopted,budget-fy2025-26-vol1,100,
100,Other Salaries,27026,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,printed as 'OTHER SALARIES' with no code; salary object 100 family
100,Other Salaries,28478,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,
100,Other Salaries,33157,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,
100,Other Salaries,14955,2024-25,revised,budget-fy2025-26-vol1,100,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
100,Other Salaries,13887,2025-26,proposed,budget-fy2025-26-vol1,100,
100,Other Salaries,13887,2025-26,approved,budget-fy2025-26-vol1,100,
100,Other Salaries,13887,2025-26,adopted,budget-fy2025-26-vol1,100,
200,Associated Payroll Costs,185132,2021-22,actual-budgetary,budget-fy2025-26-vol1,100,
200,Associated Payroll Costs,188552,2022-23,actual-budgetary,budget-fy2025-26-vol1,100,
200,Associated Payroll Costs,206210,2023-24,actual-budgetary,budget-fy2025-26-vol1,100,
