source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,88691,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,native unit thousands; Summary of Resources by Major Object - 100 General Fund
Beginning Fund Balance,98804,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
Beginning Fund Balance,105497,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
Beginning Fund Balance,87138,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
Beginning Fund Balance,45000,2025-26,proposed,budget-fy2025-26-vol1,98,
Beginning Fund Balance,45000,2025-26,approved,budget-fy2025-26-vol1,98,
Beginning Fund Balance,45000,2025-26,adopted,budget-fy2025-26-vol1,98,
Current Year Property Taxes other than Local Option,299770,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,
Current Year Property Taxes other than Local Option,311938,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
Current Year Property Taxes other than Local Option,339436,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
Current Year Property Taxes other than Local Option,351964,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
Current Year Property Taxes other than Local Option,359464,2025-26,proposed,budget-fy2025-26-vol1,98,
Current Year Property Taxes other than Local Option,359464,2025-26,approved,budget-fy2025-26-vol1,98,
Current Year Property Taxes other than Local Option,359464,2025-26,adopted,budget-fy2025-26-vol1,98,
Current Year Local Option Property Taxes,104719,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,
Current Year Local Option Property Taxes,109213,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
Current Year Local Option Property Taxes,106896,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
Current Year Local Option Property Taxes,104608,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
Current Year Local Option Property Taxes,109222,2025-26,proposed,budget-fy2025-26-vol1,98,
Current Year Local Option Property Taxes,109222,2025-26,approved,budget-fy2025-26-vol1,98,
Current Year Local Option Property Taxes,109222,2025-26,adopted,budget-fy2025-26-vol1,98,
Other Revenue from Local Sources,16303,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,
Other Revenue from Local Sources,28028,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
Other Revenue from Local Sources,33399,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
Other Revenue from Local Sources,26749,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
Other Revenue from Local Sources,25831,2025-26,proposed,budget-fy2025-26-vol1,98,
Other Revenue from Local Sources,25831,2025-26,approved,budget-fy2025-26-vol1,98,
Other Revenue from Local Sources,25831,2025-26,adopted,budget-fy2025-26-vol1,98,
2000 - Revenue - Intermediate Sources,12796,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,
2000 - Revenue - Intermediate Sources,8977,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
2000 - Revenue - Intermediate Sources,7222,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
2000 - Revenue - Intermediate Sources,12306,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
2000 - Revenue - Intermediate Sources,7847,2025-26,proposed,budget-fy2025-26-vol1,98,
2000 - Revenue - Intermediate Sources,7847,2025-26,approved,budget-fy2025-26-vol1,98,
2000 - Revenue - Intermediate Sources,7847,2025-26,adopted,budget-fy2025-26-vol1,98,
3000 - Revenue from State Sources,265008,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,
3000 - Revenue from State Sources,272033,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
3000 - Revenue from State Sources,280781,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
3000 - Revenue from State Sources,271565,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
3000 - Revenue from State Sources,297191,2025-26,proposed,budget-fy2025-26-vol1,98,
3000 - Revenue from State Sources,297191,2025-26,approved,budget-fy2025-26-vol1,98,
3000 - Revenue from State Sources,297191,2025-26,adopted,budget-fy2025-26-vol1,98,
4000 - Revenue from Federal Sources,21,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,
4000 - Revenue from Federal Sources,21,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
4000 - Revenue from Federal Sources,28,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
4000 - Revenue from Federal Sources,15,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
4000 - Revenue from Federal Sources,15,2025-26,proposed,budget-fy2025-26-vol1,98,
4000 - Revenue from Federal Sources,15,2025-26,approved,budget-fy2025-26-vol1,98,
4000 - Revenue from Federal Sources,15,2025-26,adopted,budget-fy2025-26-vol1,98,
5200 - Interfund Transfers,0,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,
5200 - Interfund Transfers,0,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
5200 - Interfund Transfers,0,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
5200 - Interfund Transfers,0,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
5200 - Interfund Transfers,23962,2025-26,proposed,budget-fy2025-26-vol1,98,"PERS Rate Stabilization Reserve (Fund 225) transfer in, $23,962K"
5200 - Interfund Transfers,23962,2025-26,approved,budget-fy2025-26-vol1,98,"PERS Rate Stabilization Reserve (Fund 225) transfer in, $23,962K"
5200 - Interfund Transfers,23962,2025-26,adopted,budget-fy2025-26-vol1,98,"PERS Rate Stabilization Reserve (Fund 225) transfer in, $23,962K"
All Other Budget Resources,400953,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,"includes $399,390K 2021 pension bond proceeds (detail p.102)"
All Other Budget Resources,1024,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
All Other Budget Resources,115,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
All Other Budget Resources,50,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
All Other Budget Resources,50,2025-26,proposed,budget-fy2025-26-vol1,98,
All Other Budget Resources,50,2025-26,approved,budget-fy2025-26-vol1,98,
All Other Budget Resources,50,2025-26,adopted,budget-fy2025-26-vol1,98,
Total Resources,1188261,2021-22,actual-budgetary,budget-fy2025-26-vol1,98,
Total Resources,830038,2022-23,actual-budgetary,budget-fy2025-26-vol1,98,
Total Resources,873375,2023-24,actual-budgetary,budget-fy2025-26-vol1,98,
Total Resources,854394,2024-25,revised,budget-fy2025-26-vol1,98,column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
Total Resources,868580,2025-26,proposed,budget-fy2025-26-vol1,98,
Total Resources,868580,2025-26,approved,budget-fy2025-26-vol1,98,
Total Resources,868580,2025-26,adopted,budget-fy2025-26-vol1,98,
