group,fte,fy,basis,doc_id,page,notes
All Funds - 1000 Instruction,3370.72,2024-25,revised,budget-fy2025-26-vol1,90,Budget FTE columns only (no FTE printed for actual years); column header 'Budget 2024-25' (current-year budget as shown in FY2025-26 adopted book)
All Funds - 2000 Support Services,2373.60,2024-25,revised,budget-fy2025-26-vol1,90,
All Funds - 3000 Enterprise and Community Svcs,230.27,2024-25,revised,budget-fy2025-26-vol1,90,
All Funds - 4000 Facilities Acquisition and Construction,43.50,2024-25,revised,budget-fy2025-26-vol1,90,
All Funds - Total,6018.09,2024-25,revised,budget-fy2025-26-vol1,90,
All Funds - 1000 Instruction,3260.78,2025-26,adopted,budget-fy2025-26-vol1,90,
All Funds - 2000 Support Services,2294.91,2025-26,adopted,budget-fy2025-26-vol1,90,
All Funds - 3000 Enterprise and Community Svcs,233.53,2025-26,adopted,budget-fy2025-26-vol1,90,
All Funds - 4000 Facilities Acquisition and Construction,46.25,2025-26,adopted,budget-fy2025-26-vol1,90,
All Funds - Total,5835.46,2025-26,adopted,budget-fy2025-26-vol1,90,net change -182.63 FTE vs 2024-25 (narrative says -182.6)
General Fund - 1000 Instruction,2868.48,2024-25,revised,budget-fy2025-26-vol1,99,
General Fund - 2000 Support Services,2024.97,2024-25,revised,budget-fy2025-26-vol1,99,
General Fund - 3000 Enterprise and Community Svcs,18.15,2024-25,revised,budget-fy2025-26-vol1,99,
General Fund - Total,4911.60,2024-25,revised,budget-fy2025-26-vol1,99,
General Fund - 1000 Instruction,2817.71,2025-26,adopted,budget-fy2025-26-vol1,99,
General Fund - 2000 Support Services,1982.05,2025-26,adopted,budget-fy2025-26-vol1,99,
General Fund - 3000 Enterprise and Community Svcs,17.75,2025-26,adopted,budget-fy2025-26-vol1,99,
General Fund - Total,4817.50,2025-26,adopted,budget-fy2025-26-vol1,99,
All Funds - 111 Licensed Salaries,3410.58,2024-25,revised,budget-fy2025-26-vol1,91,by-object employee-class FTE
All Funds - 1121 Classified Represented,1818.49,2024-25,revised,budget-fy2025-26-vol1,91,
All Funds - 1122 Non-Represented Staff,517.38,2024-25,revised,budget-fy2025-26-vol1,91,
All Funds - 113 Administrators,271.65,2024-25,revised,budget-fy2025-26-vol1,91,
All Funds - 111 Licensed Salaries,3273.27,2025-26,adopted,budget-fy2025-26-vol1,91,
All Funds - 1121 Classified Represented,1822.57,2025-26,adopted,budget-fy2025-26-vol1,91,
All Funds - 1122 Non-Represented Staff,485.98,2025-26,adopted,budget-fy2025-26-vol1,91,
All Funds - 113 Administrators,253.65,2025-26,adopted,budget-fy2025-26-vol1,91,
General Fund - 111 Licensed Salaries,2945.09,2024-25,revised,budget-fy2025-26-vol1,100,
General Fund - 1121 Classified Represented,1328.73,2024-25,revised,budget-fy2025-26-vol1,100,
General Fund - 1122 Non-Represented Staff,389.67,2024-25,revised,budget-fy2025-26-vol1,100,
General Fund - 113 Administrators,248.12,2024-25,revised,budget-fy2025-26-vol1,100,
General Fund - 111 Licensed Salaries,2840.89,2025-26,adopted,budget-fy2025-26-vol1,100,
General Fund - 1121 Classified Represented,1375.89,2025-26,adopted,budget-fy2025-26-vol1,100,
General Fund - 1122 Non-Represented Staff,367.53,2025-26,adopted,budget-fy2025-26-vol1,100,
General Fund - 113 Administrators,233.20,2025-26,adopted,budget-fy2025-26-vol1,100,
