fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
All Funds Total,1211781,1211781,2015-16,actual-budgetary,budget-fy2019-20-book,73,"native unit thousands of dollars; 2018-19 column headed 'Budget' (current-year budget, treated as revised); resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note"
All Funds Total,1147352,1147352,2016-17,actual-budgetary,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note"
All Funds Total,1537607,1537607,2017-18,actual-budgetary,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note"
All Funds Total,1506992,1506992,2018-19,revised,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note"
All Funds Total,1376348,1376347,2019-20,proposed,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note"
All Funds Total,1379458,1379456,2019-20,approved,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note"
All Funds Total,1379458,1379456,2019-20,adopted,budget-fy2019-20-book,73,"resources p73, requirements p74; res/req differ by rounding in 2019-20 columns per book's own rounding note"
General Fund (100),583732,583732,2015-16,actual-budgetary,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding"
General Fund (100),600301,600301,2016-17,actual-budgetary,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding"
General Fund (100),633966,633966,2017-18,actual-budgetary,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding"
General Fund (100),655002,655002,2018-19,revised,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding"
General Fund (100),686647,686647,2019-20,proposed,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding"
General Fund (100),691769,691767,2019-20,approved,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding"
General Fund (100),691769,691767,2019-20,adopted,budget-fy2019-20-book,82,"resources p82, requirements p83; approved/adopted res 691,769 vs req 691,767 is book rounding"
Special Revenue Funds (200),126496,126496,2015-16,actual-budgetary,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns"
Special Revenue Funds (200),127479,127479,2016-17,actual-budgetary,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns"
Special Revenue Funds (200),130612,130612,2017-18,actual-budgetary,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns"
Special Revenue Funds (200),130309,130309,2018-19,revised,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns"
Special Revenue Funds (200),137409,137408,2019-20,proposed,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns"
Special Revenue Funds (200),137409,137408,2019-20,approved,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns"
Special Revenue Funds (200),137409,137408,2019-20,adopted,budget-fy2019-20-book,94,"resources p94, requirements p95; 1k res/req rounding gap in 2019-20 columns"
Student Body Activity Fund (201),11926,11926,2015-16,actual-budgetary,budget-fy2019-20-book,98,
Student Body Activity Fund (201),11585,11585,2016-17,actual-budgetary,budget-fy2019-20-book,98,
Student Body Activity Fund (201),11561,11561,2017-18,actual-budgetary,budget-fy2019-20-book,98,
Student Body Activity Fund (201),13057,13057,2018-19,revised,budget-fy2019-20-book,98,
Student Body Activity Fund (201),13819,13819,2019-20,proposed,budget-fy2019-20-book,98,
Student Body Activity Fund (201),13819,13819,2019-20,approved,budget-fy2019-20-book,98,
Student Body Activity Fund (201),13819,13819,2019-20,adopted,budget-fy2019-20-book,98,
Cafeteria Fund (202),24508,24508,2015-16,actual-budgetary,budget-fy2019-20-book,100,requirements totals also printed p101
Cafeteria Fund (202),24468,24468,2016-17,actual-budgetary,budget-fy2019-20-book,100,requirements totals also printed p101
Cafeteria Fund (202),23206,23206,2017-18,actual-budgetary,budget-fy2019-20-book,100,requirements totals also printed p101
Cafeteria Fund (202),22106,22106,2018-19,revised,budget-fy2019-20-book,100,requirements totals also printed p101
Cafeteria Fund (202),21596,21596,2019-20,proposed,budget-fy2019-20-book,100,requirements totals also printed p101
Cafeteria Fund (202),21596,21596,2019-20,approved,budget-fy2019-20-book,100,requirements totals also printed p101
Cafeteria Fund (202),21596,21596,2019-20,adopted,budget-fy2019-20-book,100,requirements totals also printed p101
Grants Fund (205),58568,58568,2015-16,actual-budgetary,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns
Grants Fund (205),59803,59803,2016-17,actual-budgetary,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns
Grants Fund (205),59778,59778,2017-18,actual-budgetary,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns
Grants Fund (205),66796,66796,2018-19,revised,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns
Grants Fund (205),67526,67525,2019-20,proposed,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns
Grants Fund (205),67526,67525,2019-20,approved,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns
Grants Fund (205),67526,67525,2019-20,adopted,budget-fy2019-20-book,103,1k res/req rounding gap in 2019-20 columns
PERS Rate Stabilization Reserve Fund (225),16396,16396,2015-16,actual-budgetary,budget-fy2019-20-book,110,
PERS Rate Stabilization Reserve Fund (225),16813,16813,2016-17,actual-budgetary,budget-fy2019-20-book,110,
PERS Rate Stabilization Reserve Fund (225),17209,17209,2017-18,actual-budgetary,budget-fy2019-20-book,110,
PERS Rate Stabilization Reserve Fund (225),17521,17521,2018-19,revised,budget-fy2019-20-book,110,
PERS Rate Stabilization Reserve Fund (225),18275,18275,2019-20,proposed,budget-fy2019-20-book,110,
PERS Rate Stabilization Reserve Fund (225),18275,18275,2019-20,approved,budget-fy2019-20-book,110,
PERS Rate Stabilization Reserve Fund (225),18275,18275,2019-20,adopted,budget-fy2019-20-book,110,
Dedicated Resource Fund (299),15097,15097,2015-16,actual-budgetary,budget-fy2019-20-book,112,
Dedicated Resource Fund (299),14809,14809,2016-17,actual-budgetary,budget-fy2019-20-book,112,
Dedicated Resource Fund (299),18858,18858,2017-18,actual-budgetary,budget-fy2019-20-book,112,
Dedicated Resource Fund (299),10828,10828,2018-19,revised,budget-fy2019-20-book,112,
Dedicated Resource Fund (299),16193,16193,2019-20,proposed,budget-fy2019-20-book,112,
Dedicated Resource Fund (299),16193,16193,2019-20,approved,budget-fy2019-20-book,112,
Dedicated Resource Fund (299),16193,16193,2019-20,adopted,budget-fy2019-20-book,112,
Debt Service Funds (300),96333,96333,2015-16,actual-budgetary,budget-fy2019-20-book,120,"resources p120, requirements p121"
Debt Service Funds (300),100875,100875,2016-17,actual-budgetary,budget-fy2019-20-book,120,"resources p120, requirements p121"
Debt Service Funds (300),173608,173608,2017-18,actual-budgetary,budget-fy2019-20-book,120,"resources p120, requirements p121"
Debt Service Funds (300),178312,178312,2018-19,revised,budget-fy2019-20-book,120,"resources p120, requirements p121"
Debt Service Funds (300),190393,190393,2019-20,proposed,budget-fy2019-20-book,120,"resources p120, requirements p121"
Debt Service Funds (300),188882,188882,2019-20,approved,budget-fy2019-20-book,120,"resources p120, requirements p121"
Debt Service Funds (300),188882,188882,2019-20,adopted,budget-fy2019-20-book,120,"resources p120, requirements p121"
IT Projects Debt Service Fund (307),2708,2708,2015-16,actual-budgetary,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down)
IT Projects Debt Service Fund (307),2707,2707,2016-17,actual-budgetary,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down)
IT Projects Debt Service Fund (307),2708,2708,2017-18,actual-budgetary,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down)
IT Projects Debt Service Fund (307),2708,2708,2018-19,revised,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down)
IT Projects Debt Service Fund (307),0,0,2019-20,proposed,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down)
IT Projects Debt Service Fund (307),0,0,2019-20,approved,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down)
IT Projects Debt Service Fund (307),0,0,2019-20,adopted,budget-fy2019-20-book,126,2019-20 columns printed as dash (fund winding down)
PERS UAL Debt Service Fund (308),42318,42318,2015-16,actual-budgetary,budget-fy2019-20-book,128,
PERS UAL Debt Service Fund (308),44775,44775,2016-17,actual-budgetary,budget-fy2019-20-book,128,
PERS UAL Debt Service Fund (308),48782,48782,2017-18,actual-budgetary,budget-fy2019-20-book,128,
PERS UAL Debt Service Fund (308),50024,50024,2018-19,revised,budget-fy2019-20-book,128,
PERS UAL Debt Service Fund (308),52997,52997,2019-20,proposed,budget-fy2019-20-book,128,
PERS UAL Debt Service Fund (308),52997,52997,2019-20,approved,budget-fy2019-20-book,128,
PERS UAL Debt Service Fund (308),52997,52997,2019-20,adopted,budget-fy2019-20-book,128,
Full Faith and Credit Debt Service Fund (320),1286,1286,2015-16,actual-budgetary,budget-fy2019-20-book,130,
Full Faith and Credit Debt Service Fund (320),1352,1352,2016-17,actual-budgetary,budget-fy2019-20-book,130,
