source,amount_k,fy,basis,doc_id,page,notes
BEGINNING FUND BALANCE,34442,2015-16,actual-budgetary,budget-fy2019-20-book,82,native unit thousands; Summary of Resources by Major Account - General Fund; printed dashes recorded as 0
BEGINNING FUND BALANCE,37835,2016-17,actual-budgetary,budget-fy2019-20-book,82,
BEGINNING FUND BALANCE,20104,2017-18,actual-budgetary,budget-fy2019-20-book,82,
BEGINNING FUND BALANCE,34730,2018-19,revised,budget-fy2019-20-book,82,
BEGINNING FUND BALANCE,33112,2019-20,proposed,budget-fy2019-20-book,82,
BEGINNING FUND BALANCE,34112,2019-20,approved,budget-fy2019-20-book,82,
BEGINNING FUND BALANCE,34112,2019-20,adopted,budget-fy2019-20-book,82,
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,227207,2015-16,actual-budgetary,budget-fy2019-20-book,82,
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,237062,2016-17,actual-budgetary,budget-fy2019-20-book,82,
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,248707,2017-18,actual-budgetary,budget-fy2019-20-book,82,
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,256236,2018-19,revised,budget-fy2019-20-book,82,
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,265634,2019-20,proposed,budget-fy2019-20-book,82,
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,265634,2019-20,approved,budget-fy2019-20-book,82,
CURRENT YEAR PROPERTY TAXES OTHER THAN LOCAL OPTION,265634,2019-20,adopted,budget-fy2019-20-book,82,
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,75357,2015-16,actual-budgetary,budget-fy2019-20-book,82,
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,82878,2016-17,actual-budgetary,budget-fy2019-20-book,82,
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,88405,2017-18,actual-budgetary,budget-fy2019-20-book,82,
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,93548,2018-19,revised,budget-fy2019-20-book,82,
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,97350,2019-20,proposed,budget-fy2019-20-book,82,
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,97350,2019-20,approved,budget-fy2019-20-book,82,
CURRENT YEAR LOCAL OPTION PROPERTY TAXES,97350,2019-20,adopted,budget-fy2019-20-book,82,
OTHER REVENUE FROM LOCAL SOURCES,16419,2015-16,actual-budgetary,budget-fy2019-20-book,82,
OTHER REVENUE FROM LOCAL SOURCES,15686,2016-17,actual-budgetary,budget-fy2019-20-book,82,
OTHER REVENUE FROM LOCAL SOURCES,17467,2017-18,actual-budgetary,budget-fy2019-20-book,82,
OTHER REVENUE FROM LOCAL SOURCES,18884,2018-19,revised,budget-fy2019-20-book,82,
OTHER REVENUE FROM LOCAL SOURCES,19906,2019-20,proposed,budget-fy2019-20-book,82,
OTHER REVENUE FROM LOCAL SOURCES,19906,2019-20,approved,budget-fy2019-20-book,82,
OTHER REVENUE FROM LOCAL SOURCES,19906,2019-20,adopted,budget-fy2019-20-book,82,
2000 - REVENUE - INTERMEDIATE SOURCES,13103,2015-16,actual-budgetary,budget-fy2019-20-book,82,
2000 - REVENUE - INTERMEDIATE SOURCES,13121,2016-17,actual-budgetary,budget-fy2019-20-book,82,
2000 - REVENUE - INTERMEDIATE SOURCES,13254,2017-18,actual-budgetary,budget-fy2019-20-book,82,
2000 - REVENUE - INTERMEDIATE SOURCES,13348,2018-19,revised,budget-fy2019-20-book,82,
2000 - REVENUE - INTERMEDIATE SOURCES,13357,2019-20,proposed,budget-fy2019-20-book,82,
2000 - REVENUE - INTERMEDIATE SOURCES,13357,2019-20,approved,budget-fy2019-20-book,82,
