object_code,label,amount_k,fy,basis,doc_id,page,notes
100+200,Salaries and Benefits,408398.173,2014-15,actual-budgetary,budget-fy2017-18-book,79,native unit whole dollars; book combines objects 100/200 and 300/400 at summary level - split rows 100 and 200 provided from detail subtotals
100+200,Salaries and Benefits,445392.054,2015-16,actual-budgetary,budget-fy2017-18-book,79,
100+200,Salaries and Benefits,479722.797,2016-17,revised,budget-fy2017-18-book,79,
100+200,Salaries and Benefits,489584.580,2017-18,proposed,budget-fy2017-18-book,79,
100+200,Salaries and Benefits,490916.212,2017-18,approved,budget-fy2017-18-book,79,
100+200,Salaries and Benefits,491655.112,2017-18,adopted,budget-fy2017-18-book,79,
300+400,Materials and Services,79196.520,2014-15,actual-budgetary,budget-fy2017-18-book,79,
300+400,Materials and Services,86807.462,2015-16,actual-budgetary,budget-fy2017-18-book,79,
300+400,Materials and Services,88502.225,2016-17,revised,budget-fy2017-18-book,79,
300+400,Materials and Services,91237.294,2017-18,proposed,budget-fy2017-18-book,79,
300+400,Materials and Services,90308.081,2017-18,approved,budget-fy2017-18-book,79,
300+400,Materials and Services,89684.843,2017-18,adopted,budget-fy2017-18-book,79,
500,Capital Outlay,5558.214,2014-15,actual-budgetary,budget-fy2017-18-book,79,
500,Capital Outlay,2737.164,2015-16,actual-budgetary,budget-fy2017-18-book,79,
500,Capital Outlay,1743.390,2016-17,revised,budget-fy2017-18-book,79,
500,Capital Outlay,1316.955,2017-18,proposed,budget-fy2017-18-book,79,
500,Capital Outlay,1317.529,2017-18,approved,budget-fy2017-18-book,79,
500,Capital Outlay,1204.499,2017-18,adopted,budget-fy2017-18-book,79,
600,Debt Service & Other,3225.187,2014-15,actual-budgetary,budget-fy2017-18-book,79,
600,Debt Service & Other,3552.821,2015-16,actual-budgetary,budget-fy2017-18-book,79,
600,Debt Service & Other,3334.935,2016-17,revised,budget-fy2017-18-book,79,
600,Debt Service & Other,3333.735,2017-18,proposed,budget-fy2017-18-book,79,
600,Debt Service & Other,5315.357,2017-18,approved,budget-fy2017-18-book,79,
600,Debt Service & Other,5312.725,2017-18,adopted,budget-fy2017-18-book,79,
700,Fund Transfers,14409.096,2014-15,actual-budgetary,budget-fy2017-18-book,79,
700,Fund Transfers,7407.357,2015-16,actual-budgetary,budget-fy2017-18-book,79,
700,Fund Transfers,15956.437,2016-17,revised,budget-fy2017-18-book,79,
700,Fund Transfers,5895.375,2017-18,proposed,budget-fy2017-18-book,79,
700,Fund Transfers,5915.375,2017-18,approved,budget-fy2017-18-book,79,
700,Fund Transfers,5915.375,2017-18,adopted,budget-fy2017-18-book,79,
810,Contingency,0.000,2014-15,actual-budgetary,budget-fy2017-18-book,79,PPS account 581000 Operating Contingency
