group,fte,fy,basis,doc_id,page,notes
Instruction - Fund 101 (General Fund),3017.38,2017-18,adopted,budget-fy2017-18-book,55,"FTE as printed (not thousands); 'Support Services General Administration' subtotal includes Executive Admin, School Admin, Business, O&M of Plant, Transportation, Internal Services; book warns allocations are preliminary"
Instruction - all funds,3429.45,2017-18,adopted,budget-fy2017-18-book,55,
Instructional Support Services - Fund 101 (General Fund),708.85,2017-18,adopted,budget-fy2017-18-book,55,
Instructional Support Services - all funds,840.95,2017-18,adopted,budget-fy2017-18-book,55,
Support Services General Administration - Fund 101 (General Fund),1084.83,2017-18,adopted,budget-fy2017-18-book,55,
Support Services General Administration - all funds,1095.28,2017-18,adopted,budget-fy2017-18-book,55,
Central Support - Fund 101 (General Fund),146.05,2017-18,adopted,budget-fy2017-18-book,55,
Central Support - all funds,147.45,2017-18,adopted,budget-fy2017-18-book,55,
Enterprise and Community Services - Fund 101 (General Fund),11.98,2017-18,adopted,budget-fy2017-18-book,55,
Enterprise and Community Services - all funds,218.33,2017-18,adopted,budget-fy2017-18-book,55,
Facilities Acquisition and Construction - Fund 101 (General Fund),0.00,2017-18,adopted,budget-fy2017-18-book,55,
Facilities Acquisition and Construction - all funds,16.00,2017-18,adopted,budget-fy2017-18-book,55,
Total FTE - Fund 101 (General Fund),4969.09,2017-18,adopted,budget-fy2017-18-book,55,
Total FTE - all funds,5747.46,2017-18,adopted,budget-fy2017-18-book,55,
