bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes
2012 GO ($482M),Franklin High School Full Modernization,,20760.733,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,"CAUTION: current_estimate_k holds the FY2017/18 ANNUAL project budget from 'Fund 450 GO Bonds by Major Project' - the book prints no lifetime original budget, current estimate, or spent-to-date by project; bond attribution inferred from budget narrative (PDF pp137,142): 2012-authorization projects vs May 2017 $790M bond design-phase projects; native unit whole dollars"
2012 GO ($482M),Grant High School Full Modernization,,103048.477,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2012 GO ($482M),Roosevelt High School Full Modernization,,14660.691,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2012 GO ($482M),Faubion PreK-8 Replacement,,6990.211,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2012 GO ($482M),Summer Improvement Project 2016 (IP16),,613.541,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2012 GO ($482M),Summer Improvement Project 2017 (IP17),,1041.812,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2017 GO ($790M),Lincoln High School Full Modernization,,10058.067,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2017 GO ($790M),Madison High School Full Modernization,,7873.107,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2017 GO ($790M),Benson Poly Tech Full Modernization,,10991.082,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2017 GO ($790M),Kellogg Replacement,,2377.567,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2017 GO ($790M),Environmental Health Improvement Projects,,4965.873,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2012/2017 GO,Swing Sites & Transportation,,500.001,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2012/2017 GO,Subtotal Project Budget,,183881.161,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2012/2017 GO,Budgetary Contingency,,412397.494,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
2012/2017 GO,Total Requirements (Fund 450),,596278.655,,2017-18 adopted (annual budget),budget-fy2017-18-book,141,amount is FY2017/18 annual project budget
