source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,51673.785,2014-15,actual-budgetary,budget-fy2017-18-book,87,native unit whole dollars; subtotal lines of GF Resources by Account detail; Budget Overview GF summary (PDF p75) folds Food Service Sales into Other Local Sources (7838037+103923=7941960)
Beginning Fund Balance,34441.540,2015-16,actual-budgetary,budget-fy2017-18-book,87,
Beginning Fund Balance,38024.289,2016-17,revised,budget-fy2017-18-book,87,
Beginning Fund Balance,19871.000,2017-18,proposed,budget-fy2017-18-book,87,
Beginning Fund Balance,19871.000,2017-18,approved,budget-fy2017-18-book,87,
Beginning Fund Balance,19871.000,2017-18,adopted,budget-fy2017-18-book,87,
Revenue from Taxes,285186.236,2014-15,actual-budgetary,budget-fy2017-18-book,88,
Revenue from Taxes,308943.364,2015-16,actual-budgetary,budget-fy2017-18-book,88,
Revenue from Taxes,320700.760,2016-17,revised,budget-fy2017-18-book,88,
Revenue from Taxes,332152.000,2017-18,proposed,budget-fy2017-18-book,88,
Revenue from Taxes,332152.000,2017-18,approved,budget-fy2017-18-book,88,
Revenue from Taxes,332152.000,2017-18,adopted,budget-fy2017-18-book,88,
Tuition,148.914,2014-15,actual-budgetary,budget-fy2017-18-book,88,
Tuition,181.105,2015-16,actual-budgetary,budget-fy2017-18-book,88,
Tuition,185.000,2016-17,revised,budget-fy2017-18-book,88,
Tuition,150.000,2017-18,proposed,budget-fy2017-18-book,88,
Tuition,150.000,2017-18,approved,budget-fy2017-18-book,88,
Tuition,150.000,2017-18,adopted,budget-fy2017-18-book,88,
Earnings on Investment,715.795,2014-15,actual-budgetary,budget-fy2017-18-book,88,
Earnings on Investment,887.202,2015-16,actual-budgetary,budget-fy2017-18-book,88,
Earnings on Investment,1000.000,2016-17,revised,budget-fy2017-18-book,88,
Earnings on Investment,1000.000,2017-18,proposed,budget-fy2017-18-book,88,
Earnings on Investment,1000.000,2017-18,approved,budget-fy2017-18-book,88,
Earnings on Investment,1000.000,2017-18,adopted,budget-fy2017-18-book,88,
Food Service Sales,0.000,2014-15,actual-budgetary,budget-fy2017-18-book,88,
Food Service Sales,0.000,2015-16,actual-budgetary,budget-fy2017-18-book,88,
Food Service Sales,0.000,2016-17,revised,budget-fy2017-18-book,88,
Food Service Sales,103.923,2017-18,proposed,budget-fy2017-18-book,88,
Food Service Sales,103.923,2017-18,approved,budget-fy2017-18-book,88,
Food Service Sales,103.923,2017-18,adopted,budget-fy2017-18-book,88,
Extra-Curricular Activities,656.892,2014-15,actual-budgetary,budget-fy2017-18-book,88,
Extra-Curricular Activities,808.200,2015-16,actual-budgetary,budget-fy2017-18-book,88,
Extra-Curricular Activities,679.500,2016-17,revised,budget-fy2017-18-book,88,
Extra-Curricular Activities,700.000,2017-18,proposed,budget-fy2017-18-book,88,
Extra-Curricular Activities,700.000,2017-18,approved,budget-fy2017-18-book,88,
Extra-Curricular Activities,700.000,2017-18,adopted,budget-fy2017-18-book,88,
Other Revenue from Local Sources,9837.991,2014-15,actual-budgetary,budget-fy2017-18-book,89,
Other Revenue from Local Sources,8163.519,2015-16,actual-budgetary,budget-fy2017-18-book,89,
Other Revenue from Local Sources,8397.720,2016-17,revised,budget-fy2017-18-book,89,
Other Revenue from Local Sources,7838.037,2017-18,proposed,budget-fy2017-18-book,89,
Other Revenue from Local Sources,7838.037,2017-18,approved,budget-fy2017-18-book,89,
Other Revenue from Local Sources,7838.037,2017-18,adopted,budget-fy2017-18-book,89,
Intermediate Sources,12679.005,2014-15,actual-budgetary,budget-fy2017-18-book,89,
Intermediate Sources,13102.988,2015-16,actual-budgetary,budget-fy2017-18-book,89,
Intermediate Sources,13021.202,2016-17,revised,budget-fy2017-18-book,89,
Intermediate Sources,12030.000,2017-18,proposed,budget-fy2017-18-book,89,
Intermediate Sources,13030.000,2017-18,approved,budget-fy2017-18-book,89,
Intermediate Sources,13030.000,2017-18,adopted,budget-fy2017-18-book,89,
State Sources,184226.573,2014-15,actual-budgetary,budget-fy2017-18-book,89,
State Sources,217062.513,2015-16,actual-budgetary,budget-fy2017-18-book,89,
State Sources,222796.690,2016-17,revised,budget-fy2017-18-book,89,
State Sources,241692.000,2017-18,proposed,budget-fy2017-18-book,89,
State Sources,241692.000,2017-18,approved,budget-fy2017-18-book,89,
State Sources,241692.000,2017-18,adopted,budget-fy2017-18-book,89,
Federal Sources,59.685,2014-15,actual-budgetary,budget-fy2017-18-book,89,
Federal Sources,24.767,2015-16,actual-budgetary,budget-fy2017-18-book,89,
Federal Sources,0.000,2016-17,revised,budget-fy2017-18-book,89,
Federal Sources,0.000,2017-18,proposed,budget-fy2017-18-book,89,
Federal Sources,0.000,2017-18,approved,budget-fy2017-18-book,89,
Federal Sources,0.000,2017-18,adopted,budget-fy2017-18-book,89,
Other Sources,43.855,2014-15,actual-budgetary,budget-fy2017-18-book,89,
Other Sources,116.705,2015-16,actual-budgetary,budget-fy2017-18-book,89,
Other Sources,100.000,2016-17,revised,budget-fy2017-18-book,89,
Other Sources,749.881,2017-18,proposed,budget-fy2017-18-book,89,
Other Sources,749.881,2017-18,approved,budget-fy2017-18-book,89,
Other Sources,749.881,2017-18,adopted,budget-fy2017-18-book,89,
TOTAL,545228.731,2014-15,actual-budgetary,budget-fy2017-18-book,89,
TOTAL,583731.903,2015-16,actual-budgetary,budget-fy2017-18-book,89,
TOTAL,604905.161,2016-17,revised,budget-fy2017-18-book,89,
TOTAL,616286.841,2017-18,proposed,budget-fy2017-18-book,89,
TOTAL,617286.841,2017-18,approved,budget-fy2017-18-book,89,
TOTAL,617286.841,2017-18,adopted,budget-fy2017-18-book,89,
