fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
101 General Fund,,604905.161,2016-17,revised,budget-fy2017-18-book,65,native unit whole dollars; table prints requirements only - resources_k left empty (per-fund resources appear only in Fund Detail pages); 2016/17 column headed 'Current'
101 General Fund,,616286.841,2017-18,proposed,budget-fy2017-18-book,65,
101 General Fund,,617286.841,2017-18,approved,budget-fy2017-18-book,65,
101 General Fund,,617286.841,2017-18,adopted,budget-fy2017-18-book,65,
201 Student Body Activity Fund,,13095.969,2016-17,revised,budget-fy2017-18-book,65,
201 Student Body Activity Fund,,13095.969,2017-18,proposed,budget-fy2017-18-book,65,
201 Student Body Activity Fund,,13095.969,2017-18,approved,budget-fy2017-18-book,65,
201 Student Body Activity Fund,,13095.969,2017-18,adopted,budget-fy2017-18-book,65,
202 Cafeteria Fund,,26607.599,2016-17,revised,budget-fy2017-18-book,65,
202 Cafeteria Fund,,22089.840,2017-18,proposed,budget-fy2017-18-book,65,
202 Cafeteria Fund,,22089.840,2017-18,approved,budget-fy2017-18-book,65,
202 Cafeteria Fund,,22089.840,2017-18,adopted,budget-fy2017-18-book,65,
205 Grants Fund,,69334.196,2016-17,revised,budget-fy2017-18-book,65,
205 Grants Fund,,83496.898,2017-18,proposed,budget-fy2017-18-book,65,
205 Grants Fund,,83496.898,2017-18,approved,budget-fy2017-18-book,65,
205 Grants Fund,,83496.898,2017-18,adopted,budget-fy2017-18-book,65,
225 PERS Rate Stabilization Reserve Fund,,16745.967,2016-17,revised,budget-fy2017-18-book,65,
225 PERS Rate Stabilization Reserve Fund,,17070.884,2017-18,proposed,budget-fy2017-18-book,65,
225 PERS Rate Stabilization Reserve Fund,,17070.884,2017-18,approved,budget-fy2017-18-book,65,
225 PERS Rate Stabilization Reserve Fund,,17070.884,2017-18,adopted,budget-fy2017-18-book,65,
299 Dedicated Resource Fund,,13102.048,2016-17,revised,budget-fy2017-18-book,65,
299 Dedicated Resource Fund,,16844.643,2017-18,proposed,budget-fy2017-18-book,65,
299 Dedicated Resource Fund,,16653.023,2017-18,approved,budget-fy2017-18-book,65,
299 Dedicated Resource Fund,,16653.023,2017-18,adopted,budget-fy2017-18-book,65,
307 IT Projects Debt Service Fund,,2707.434,2016-17,revised,budget-fy2017-18-book,65,
307 IT Projects Debt Service Fund,,2708.168,2017-18,proposed,budget-fy2017-18-book,65,
307 IT Projects Debt Service Fund,,2708.168,2017-18,approved,budget-fy2017-18-book,65,
307 IT Projects Debt Service Fund,,2708.168,2017-18,adopted,budget-fy2017-18-book,65,
308 PERS UAL Debt Service Fund,,44138.307,2016-17,revised,budget-fy2017-18-book,65,
308 PERS UAL Debt Service Fund,,46878.306,2017-18,proposed,budget-fy2017-18-book,65,
308 PERS UAL Debt Service Fund,,46878.306,2017-18,approved,budget-fy2017-18-book,65,
308 PERS UAL Debt Service Fund,,46878.306,2017-18,adopted,budget-fy2017-18-book,65,
320 Full Faith and Credit Debt Service Fund,,1366.926,2016-17,revised,budget-fy2017-18-book,65,
320 Full Faith and Credit Debt Service Fund,,2484.707,2017-18,proposed,budget-fy2017-18-book,65,
320 Full Faith and Credit Debt Service Fund,,2484.707,2017-18,approved,budget-fy2017-18-book,65,
320 Full Faith and Credit Debt Service Fund,,2484.707,2017-18,adopted,budget-fy2017-18-book,65,
350 GO Bonds Debt Service Funds,,51027.767,2016-17,revised,budget-fy2017-18-book,65,
350 GO Bonds Debt Service Funds,,118526.948,2017-18,proposed,budget-fy2017-18-book,65,
350 GO Bonds Debt Service Funds,,118526.948,2017-18,approved,budget-fy2017-18-book,65,
350 GO Bonds Debt Service Funds,,118526.948,2017-18,adopted,budget-fy2017-18-book,65,
404 Construction Excise Fund,,22027.290,2016-17,revised,budget-fy2017-18-book,65,
404 Construction Excise Fund,,23529.981,2017-18,proposed,budget-fy2017-18-book,65,
404 Construction Excise Fund,,23529.981,2017-18,approved,budget-fy2017-18-book,65,
404 Construction Excise Fund,,23529.981,2017-18,adopted,budget-fy2017-18-book,65,
407 IT System Project Fund,,1907.028,2016-17,revised,budget-fy2017-18-book,65,
407 IT System Project Fund,,1319.500,2017-18,proposed,budget-fy2017-18-book,65,
407 IT System Project Fund,,1319.500,2017-18,approved,budget-fy2017-18-book,65,
407 IT System Project Fund,,1319.500,2017-18,adopted,budget-fy2017-18-book,65,
420 Full Faith and Credit Fund,,19300.000,2016-17,revised,budget-fy2017-18-book,65,
420 Full Faith and Credit Fund,,3000.000,2017-18,proposed,budget-fy2017-18-book,65,
420 Full Faith and Credit Fund,,3000.000,2017-18,approved,budget-fy2017-18-book,65,
420 Full Faith and Credit Fund,,3000.000,2017-18,adopted,budget-fy2017-18-book,65,
435 Energy Efficient Schools Fund,,1881.273,2016-17,revised,budget-fy2017-18-book,65,
435 Energy Efficient Schools Fund,,2694.273,2017-18,proposed,budget-fy2017-18-book,65,
435 Energy Efficient Schools Fund,,2694.273,2017-18,approved,budget-fy2017-18-book,65,
435 Energy Efficient Schools Fund,,2694.273,2017-18,adopted,budget-fy2017-18-book,65,
438 Facilities Capital Fund,,6960.085,2016-17,revised,budget-fy2017-18-book,65,
438 Facilities Capital Fund,,2818.730,2017-18,proposed,budget-fy2017-18-book,65,
438 Facilities Capital Fund,,3002.687,2017-18,approved,budget-fy2017-18-book,65,
438 Facilities Capital Fund,,3002.687,2017-18,adopted,budget-fy2017-18-book,65,
445 Capital Asset Renewal Fund,,3788.699,2016-17,revised,budget-fy2017-18-book,65,
445 Capital Asset Renewal Fund,,4248.699,2017-18,proposed,budget-fy2017-18-book,65,
445 Capital Asset Renewal Fund,,4248.699,2017-18,approved,budget-fy2017-18-book,65,
445 Capital Asset Renewal Fund,,4248.699,2017-18,adopted,budget-fy2017-18-book,65,
450 GO Bonds,,243180.246,2016-17,revised,budget-fy2017-18-book,65,
450 GO Bonds,,596278.655,2017-18,proposed,budget-fy2017-18-book,65,
