function_code,label,amount_k,fy,basis,doc_id,page,notes
1000,Instruction,293299.904,2014-15,actual-budgetary,budget-fy2017-18-book,78,native unit whole dollars; function codes mapped from PPS major program labels per Oregon PBAM; in GF the 5000 line is fund transfers only (no direct GF debt service function line)
1000,Instruction,316029.450,2015-16,actual-budgetary,budget-fy2017-18-book,78,
1000,Instruction,332086.443,2016-17,revised,budget-fy2017-18-book,78,
1000,Instruction,343501.551,2017-18,proposed,budget-fy2017-18-book,78,
1000,Instruction,336304.344,2017-18,approved,budget-fy2017-18-book,78,
1000,Instruction,334250.614,2017-18,adopted,budget-fy2017-18-book,78,
2000,Support Services,201248.427,2014-15,actual-budgetary,budget-fy2017-18-book,78,
2000,Support Services,220666.070,2015-16,actual-budgetary,budget-fy2017-18-book,78,
2000,Support Services,239278.116,2016-17,revised,budget-fy2017-18-book,78,
2000,Support Services,240461.639,2017-18,proposed,budget-fy2017-18-book,78,
2000,Support Services,249672.359,2017-18,approved,budget-fy2017-18-book,78,
2000,Support Services,251720.466,2017-18,adopted,budget-fy2017-18-book,78,
3000,Enterprise & Community Services,1829.764,2014-15,actual-budgetary,budget-fy2017-18-book,78,
3000,Enterprise & Community Services,1793.982,2015-16,actual-budgetary,budget-fy2017-18-book,78,
3000,Enterprise & Community Services,1938.788,2016-17,revised,budget-fy2017-18-book,78,
3000,Enterprise & Community Services,1509.374,2017-18,proposed,budget-fy2017-18-book,78,
3000,Enterprise & Community Services,1880.476,2017-18,approved,budget-fy2017-18-book,78,
3000,Enterprise & Community Services,1886.099,2017-18,adopted,budget-fy2017-18-book,78,
5000,Debt Service & Transfers Out,14409.096,2014-15,actual-budgetary,budget-fy2017-18-book,78,
5000,Debt Service & Transfers Out,7407.357,2015-16,actual-budgetary,budget-fy2017-18-book,78,
5000,Debt Service & Transfers Out,15956.437,2016-17,revised,budget-fy2017-18-book,78,
5000,Debt Service & Transfers Out,5895.375,2017-18,proposed,budget-fy2017-18-book,78,
5000,Debt Service & Transfers Out,5915.375,2017-18,approved,budget-fy2017-18-book,78,
5000,Debt Service & Transfers Out,5915.375,2017-18,adopted,budget-fy2017-18-book,78,
6000,Contingency,0.000,2014-15,actual-budgetary,budget-fy2017-18-book,78,
6000,Contingency,0.000,2015-16,actual-budgetary,budget-fy2017-18-book,78,
6000,Contingency,15645.377,2016-17,revised,budget-fy2017-18-book,78,
6000,Contingency,24918.902,2017-18,proposed,budget-fy2017-18-book,78,
6000,Contingency,23514.287,2017-18,approved,budget-fy2017-18-book,78,
6000,Contingency,23514.287,2017-18,adopted,budget-fy2017-18-book,78,
7000,Ending Fund Balance / Unappropriated,34441.540,2014-15,actual-budgetary,budget-fy2017-18-book,78,
7000,Ending Fund Balance / Unappropriated,37835.045,2015-16,actual-budgetary,budget-fy2017-18-book,78,
7000,Ending Fund Balance / Unappropriated,0.000,2016-17,revised,budget-fy2017-18-book,78,
7000,Ending Fund Balance / Unappropriated,0.000,2017-18,proposed,budget-fy2017-18-book,78,
7000,Ending Fund Balance / Unappropriated,0.000,2017-18,approved,budget-fy2017-18-book,78,
7000,Ending Fund Balance / Unappropriated,0.000,2017-18,adopted,budget-fy2017-18-book,78,
TOTAL,Total Requirements,545228.731,2014-15,actual-budgetary,budget-fy2017-18-book,78,
TOTAL,Total Requirements,583731.903,2015-16,actual-budgetary,budget-fy2017-18-book,78,
TOTAL,Total Requirements,604905.161,2016-17,revised,budget-fy2017-18-book,78,
TOTAL,Total Requirements,616286.841,2017-18,proposed,budget-fy2017-18-book,78,
TOTAL,Total Requirements,617286.841,2017-18,approved,budget-fy2017-18-book,78,
TOTAL,Total Requirements,617286.841,2017-18,adopted,budget-fy2017-18-book,78,
