fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
General Fund (100),709092,709092,2019-20,actual-budgetary,budget-fy2023-24-vol1,98,"native unit thousands of dollars in source; 2022-23 column printed as 'Budget'; matches FY2022-23 book adopted total, so basis=adopted; resources total p98; requirements total p99; summary p94 prints proposed 823424 (rounding)"
General Fund (100),744589,744589,2020-21,actual-budgetary,budget-fy2023-24-vol1,98,
General Fund (100),1188261,1188261,2021-22,actual-budgetary,budget-fy2023-24-vol1,98,
General Fund (100),804062,804062,2022-23,adopted,budget-fy2023-24-vol1,98,
General Fund (100),823423,823423,2023-24,proposed,budget-fy2023-24-vol1,98,
General Fund (100),833774,833774,2023-24,approved,budget-fy2023-24-vol1,98,
General Fund (100),833774,833774,2023-24,adopted,budget-fy2023-24-vol1,98,
Special Revenue Funds (200) [group total],137252,137252,2019-20,actual-budgetary,budget-fy2023-24-vol1,108,"fund-group total, not additive with member funds below"
Special Revenue Funds (200) [group total],155931,155931,2020-21,actual-budgetary,budget-fy2023-24-vol1,108,
Special Revenue Funds (200) [group total],216693,216693,2021-22,actual-budgetary,budget-fy2023-24-vol1,108,
Special Revenue Funds (200) [group total],311279,311279,2022-23,adopted,budget-fy2023-24-vol1,108,
Special Revenue Funds (200) [group total],247677,247677,2023-24,proposed,budget-fy2023-24-vol1,108,
Special Revenue Funds (200) [group total],247477,247477,2023-24,approved,budget-fy2023-24-vol1,108,
Special Revenue Funds (200) [group total],247477,247477,2023-24,adopted,budget-fy2023-24-vol1,108,
Student Body Activity Fund (201),9882,9882,2019-20,actual-budgetary,budget-fy2023-24-vol1,110,
Student Body Activity Fund (201),6167,6167,2020-21,actual-budgetary,budget-fy2023-24-vol1,110,
Student Body Activity Fund (201),9094,9094,2021-22,actual-budgetary,budget-fy2023-24-vol1,110,
Student Body Activity Fund (201),12500,12500,2022-23,adopted,budget-fy2023-24-vol1,110,
Student Body Activity Fund (201),10000,10000,2023-24,proposed,budget-fy2023-24-vol1,110,
Student Body Activity Fund (201),10000,10000,2023-24,approved,budget-fy2023-24-vol1,110,
Student Body Activity Fund (201),10000,10000,2023-24,adopted,budget-fy2023-24-vol1,110,
Cafeteria Fund (202),19764,19764,2019-20,actual-budgetary,budget-fy2023-24-vol1,113,2021-22 resources 26237 vs requirements 26236 as printed (rounding)
Cafeteria Fund (202),18434,18434,2020-21,actual-budgetary,budget-fy2023-24-vol1,113,
Cafeteria Fund (202),26237,26236,2021-22,actual-budgetary,budget-fy2023-24-vol1,113,
Cafeteria Fund (202),23363,23363,2022-23,adopted,budget-fy2023-24-vol1,113,
Cafeteria Fund (202),24425,24425,2023-24,proposed,budget-fy2023-24-vol1,113,
Cafeteria Fund (202),24425,24425,2023-24,approved,budget-fy2023-24-vol1,113,
Cafeteria Fund (202),24425,24425,2023-24,adopted,budget-fy2023-24-vol1,113,
Grants Fund (205),70494,70494,2019-20,actual-budgetary,budget-fy2023-24-vol1,117,
Grants Fund (205),81194,81194,2020-21,actual-budgetary,budget-fy2023-24-vol1,117,
Grants Fund (205),102356,102356,2021-22,actual-budgetary,budget-fy2023-24-vol1,117,
Grants Fund (205),196623,196623,2022-23,adopted,budget-fy2023-24-vol1,117,
Grants Fund (205),135353,135353,2023-24,proposed,budget-fy2023-24-vol1,117,
Grants Fund (205),135154,135154,2023-24,approved,budget-fy2023-24-vol1,117,
Grants Fund (205),135154,135154,2023-24,adopted,budget-fy2023-24-vol1,117,
PERS Rate Stabilization Reserve Fund (225),18666,18666,2019-20,actual-budgetary,budget-fy2023-24-vol1,127,
PERS Rate Stabilization Reserve Fund (225),19056,19056,2020-21,actual-budgetary,budget-fy2023-24-vol1,127,
PERS Rate Stabilization Reserve Fund (225),19390,19390,2021-22,actual-budgetary,budget-fy2023-24-vol1,127,
PERS Rate Stabilization Reserve Fund (225),19793,19793,2022-23,adopted,budget-fy2023-24-vol1,127,
PERS Rate Stabilization Reserve Fund (225),20627,20627,2023-24,proposed,budget-fy2023-24-vol1,127,
PERS Rate Stabilization Reserve Fund (225),20627,20627,2023-24,approved,budget-fy2023-24-vol1,127,
PERS Rate Stabilization Reserve Fund (225),20627,20627,2023-24,adopted,budget-fy2023-24-vol1,127,
Student Investment Account Fund (251),0,0,2019-20,actual-budgetary,budget-fy2023-24-vol1,130,
Student Investment Account Fund (251),11572,11572,2020-21,actual-budgetary,budget-fy2023-24-vol1,130,
Student Investment Account Fund (251),37339,37339,2021-22,actual-budgetary,budget-fy2023-24-vol1,130,
Student Investment Account Fund (251),38000,38000,2022-23,adopted,budget-fy2023-24-vol1,130,
Student Investment Account Fund (251),36432,36432,2023-24,proposed,budget-fy2023-24-vol1,130,
Student Investment Account Fund (251),36432,36432,2023-24,approved,budget-fy2023-24-vol1,130,
Student Investment Account Fund (251),36432,36432,2023-24,adopted,budget-fy2023-24-vol1,130,
Dedicated Resource Fund (299),18446,18445,2019-20,actual-budgetary,budget-fy2023-24-vol1,134,2019-20 resources 18446 vs requirements 18445 as printed (rounding)
Dedicated Resource Fund (299),19508,19508,2020-21,actual-budgetary,budget-fy2023-24-vol1,134,
Dedicated Resource Fund (299),22277,22277,2021-22,actual-budgetary,budget-fy2023-24-vol1,134,
Dedicated Resource Fund (299),20999,20999,2022-23,adopted,budget-fy2023-24-vol1,134,
Dedicated Resource Fund (299),20840,20840,2023-24,proposed,budget-fy2023-24-vol1,134,
Dedicated Resource Fund (299),20840,20840,2023-24,approved,budget-fy2023-24-vol1,134,
Dedicated Resource Fund (299),20840,20840,2023-24,adopted,budget-fy2023-24-vol1,134,
Debt Service Funds (300) [group total],191557,191557,2019-20,actual-budgetary,budget-fy2023-24-vol1,141,"fund-group total, not additive with member funds below"
Debt Service Funds (300) [group total],258478,258478,2020-21,actual-budgetary,budget-fy2023-24-vol1,141,
Debt Service Funds (300) [group total],232104,232104,2021-22,actual-budgetary,budget-fy2023-24-vol1,141,
Debt Service Funds (300) [group total],242410,242410,2022-23,adopted,budget-fy2023-24-vol1,141,
Debt Service Funds (300) [group total],257341,257341,2023-24,proposed,budget-fy2023-24-vol1,141,
Debt Service Funds (300) [group total],257703,257703,2023-24,approved,budget-fy2023-24-vol1,141,
Debt Service Funds (300) [group total],257703,257703,2023-24,adopted,budget-fy2023-24-vol1,141,
PERS UAL Debt Service Fund (308),52114,52114,2019-20,actual-budgetary,budget-fy2023-24-vol1,147,
PERS UAL Debt Service Fund (308),55604,55604,2020-21,actual-budgetary,budget-fy2023-24-vol1,147,
PERS UAL Debt Service Fund (308),77716,77716,2021-22,actual-budgetary,budget-fy2023-24-vol1,147,
PERS UAL Debt Service Fund (308),81803,81803,2022-23,adopted,budget-fy2023-24-vol1,147,
PERS UAL Debt Service Fund (308),85465,85465,2023-24,proposed,budget-fy2023-24-vol1,147,
PERS UAL Debt Service Fund (308),85827,85827,2023-24,approved,budget-fy2023-24-vol1,147,
PERS UAL Debt Service Fund (308),85827,85827,2023-24,adopted,budget-fy2023-24-vol1,147,
