source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,39887,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,"native unit thousands of dollars in source; 2022-23 column printed as 'Budget'; matches FY2022-23 book adopted total, so basis=adopted"
Beginning Fund Balance,64474,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,
Beginning Fund Balance,88691,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,
Beginning Fund Balance,99978,2022-23,adopted,budget-fy2023-24-vol1,94,
Beginning Fund Balance,86634,2023-24,proposed,budget-fy2023-24-vol1,94,
Beginning Fund Balance,94984,2023-24,approved,budget-fy2023-24-vol1,94,
Beginning Fund Balance,94984,2023-24,adopted,budget-fy2023-24-vol1,94,
Current Year Property Taxes Other Than Local Option,268840,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,
Current Year Property Taxes Other Than Local Option,281443,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,
Current Year Property Taxes Other Than Local Option,299770,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,
Current Year Property Taxes Other Than Local Option,314424,2022-23,adopted,budget-fy2023-24-vol1,94,
Current Year Property Taxes Other Than Local Option,329746,2023-24,proposed,budget-fy2023-24-vol1,94,
Current Year Property Taxes Other Than Local Option,329746,2023-24,approved,budget-fy2023-24-vol1,94,
Current Year Property Taxes Other Than Local Option,329746,2023-24,adopted,budget-fy2023-24-vol1,94,
Current Year Local Option Property Taxes,97372,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,
Current Year Local Option Property Taxes,100955,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,
Current Year Local Option Property Taxes,104719,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,
Current Year Local Option Property Taxes,109951,2022-23,adopted,budget-fy2023-24-vol1,94,
Current Year Local Option Property Taxes,114676,2023-24,proposed,budget-fy2023-24-vol1,94,
Current Year Local Option Property Taxes,114676,2023-24,approved,budget-fy2023-24-vol1,94,
Current Year Local Option Property Taxes,114676,2023-24,adopted,budget-fy2023-24-vol1,94,
Other Revenue From Local Sources,17505,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,
Other Revenue From Local Sources,13925,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,
Other Revenue From Local Sources,16303,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,
Other Revenue From Local Sources,18736,2022-23,adopted,budget-fy2023-24-vol1,94,
Other Revenue From Local Sources,22603,2023-24,proposed,budget-fy2023-24-vol1,94,
Other Revenue From Local Sources,22603,2023-24,approved,budget-fy2023-24-vol1,94,
Other Revenue From Local Sources,22603,2023-24,adopted,budget-fy2023-24-vol1,94,
2000 - Revenue - Intermediate Sources,13768,2019-20,actual-budgetary,budget-fy2023-24-vol1,94,
2000 - Revenue - Intermediate Sources,14374,2020-21,actual-budgetary,budget-fy2023-24-vol1,94,
2000 - Revenue - Intermediate Sources,12796,2021-22,actual-budgetary,budget-fy2023-24-vol1,94,
2000 - Revenue - Intermediate Sources,12101,2022-23,adopted,budget-fy2023-24-vol1,94,
