function_code,label,amount_k,fy,basis,doc_id,page,notes
1000,Instruction,359882,2019-20,actual-budgetary,budget-fy2023-24-vol1,95,"native unit thousands of dollars in source; 2022-23 column printed as 'Budget'; matches FY2022-23 book adopted total, so basis=adopted"
1000,Instruction,363865,2020-21,actual-budgetary,budget-fy2023-24-vol1,95,
1000,Instruction,373758,2021-22,actual-budgetary,budget-fy2023-24-vol1,95,
1000,Instruction,406337,2022-23,adopted,budget-fy2023-24-vol1,95,
1000,Instruction,411595,2023-24,proposed,budget-fy2023-24-vol1,95,
1000,Instruction,416837,2023-24,approved,budget-fy2023-24-vol1,95,
1000,Instruction,416837,2023-24,adopted,budget-fy2023-24-vol1,95,
2000,Support Services,281918,2019-20,actual-budgetary,budget-fy2023-24-vol1,95,
2000,Support Services,285720,2020-21,actual-budgetary,budget-fy2023-24-vol1,95,
2000,Support Services,312766,2021-22,actual-budgetary,budget-fy2023-24-vol1,95,
2000,Support Services,341772,2022-23,adopted,budget-fy2023-24-vol1,95,
2000,Support Services,362767,2023-24,proposed,budget-fy2023-24-vol1,95,
2000,Support Services,367876,2023-24,approved,budget-fy2023-24-vol1,95,
2000,Support Services,367876,2023-24,adopted,budget-fy2023-24-vol1,95,
3000,Enterprise And Community Svcs,1507,2019-20,actual-budgetary,budget-fy2023-24-vol1,95,
3000,Enterprise And Community Svcs,5115,2020-21,actual-budgetary,budget-fy2023-24-vol1,95,
3000,Enterprise And Community Svcs,893,2021-22,actual-budgetary,budget-fy2023-24-vol1,95,
3000,Enterprise And Community Svcs,3100,2022-23,adopted,budget-fy2023-24-vol1,95,
3000,Enterprise And Community Svcs,4194,2023-24,proposed,budget-fy2023-24-vol1,95,
3000,Enterprise And Community Svcs,4194,2023-24,approved,budget-fy2023-24-vol1,95,
3000,Enterprise And Community Svcs,4194,2023-24,adopted,budget-fy2023-24-vol1,95,
5100,Debt Service & 5400 - PERS UAL Programs,0,2019-20,actual-budgetary,budget-fy2023-24-vol1,95,2021-22 actual 400833 is the Series 2021 FF&C pension bond UAL payment (function detail p99 books it under 600 Other Objects)
5100,Debt Service & 5400 - PERS UAL Programs,0,2020-21,actual-budgetary,budget-fy2023-24-vol1,95,
5100,Debt Service & 5400 - PERS UAL Programs,400833,2021-22,actual-budgetary,budget-fy2023-24-vol1,95,
5100,Debt Service & 5400 - PERS UAL Programs,783,2022-23,adopted,budget-fy2023-24-vol1,95,
5100,Debt Service & 5400 - PERS UAL Programs,728,2023-24,proposed,budget-fy2023-24-vol1,95,
5100,Debt Service & 5400 - PERS UAL Programs,728,2023-24,approved,budget-fy2023-24-vol1,95,
5100,Debt Service & 5400 - PERS UAL Programs,728,2023-24,adopted,budget-fy2023-24-vol1,95,
5200,Transfers Of Funds,1311,2019-20,actual-budgetary,budget-fy2023-24-vol1,95,
5200,Transfers Of Funds,1198,2020-21,actual-budgetary,budget-fy2023-24-vol1,95,
5200,Transfers Of Funds,1207,2021-22,actual-budgetary,budget-fy2023-24-vol1,95,
5200,Transfers Of Funds,1302,2022-23,adopted,budget-fy2023-24-vol1,95,
5200,Transfers Of Funds,1075,2023-24,proposed,budget-fy2023-24-vol1,95,
5200,Transfers Of Funds,1075,2023-24,approved,budget-fy2023-24-vol1,95,
5200,Transfers Of Funds,1075,2023-24,adopted,budget-fy2023-24-vol1,95,
6000,Contingencies,0,2019-20,actual-budgetary,budget-fy2023-24-vol1,95,
6000,Contingencies,0,2020-21,actual-budgetary,budget-fy2023-24-vol1,95,
6000,Contingencies,0,2021-22,actual-budgetary,budget-fy2023-24-vol1,95,
6000,Contingencies,50768,2022-23,adopted,budget-fy2023-24-vol1,95,
6000,Contingencies,43063,2023-24,proposed,budget-fy2023-24-vol1,95,
6000,Contingencies,43063,2023-24,approved,budget-fy2023-24-vol1,95,
6000,Contingencies,43063,2023-24,adopted,budget-fy2023-24-vol1,95,
7000,Unappropriated Fund Balance,64474,2019-20,actual-budgetary,budget-fy2023-24-vol1,95,
7000,Unappropriated Fund Balance,88691,2020-21,actual-budgetary,budget-fy2023-24-vol1,95,
7000,Unappropriated Fund Balance,98804,2021-22,actual-budgetary,budget-fy2023-24-vol1,95,
7000,Unappropriated Fund Balance,0,2022-23,adopted,budget-fy2023-24-vol1,95,
7000,Unappropriated Fund Balance,0,2023-24,proposed,budget-fy2023-24-vol1,95,
7000,Unappropriated Fund Balance,0,2023-24,approved,budget-fy2023-24-vol1,95,
7000,Unappropriated Fund Balance,0,2023-24,adopted,budget-fy2023-24-vol1,95,
,TOTAL REQUIREMENTS,709092,2019-20,actual-budgetary,budget-fy2023-24-vol1,95,"proposed total printed 823422 here, 823423 on detail p99 (rounding)"
,TOTAL REQUIREMENTS,744589,2020-21,actual-budgetary,budget-fy2023-24-vol1,95,
,TOTAL REQUIREMENTS,1188261,2021-22,actual-budgetary,budget-fy2023-24-vol1,95,
,TOTAL REQUIREMENTS,804062,2022-23,adopted,budget-fy2023-24-vol1,95,
,TOTAL REQUIREMENTS,823422,2023-24,proposed,budget-fy2023-24-vol1,95,
,TOTAL REQUIREMENTS,833774,2023-24,approved,budget-fy2023-24-vol1,95,
,TOTAL REQUIREMENTS,833774,2023-24,adopted,budget-fy2023-24-vol1,95,
