object_code,label,amount_k,fy,basis,doc_id,page,notes
111,Licensed Salaries,225339,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,"native unit thousands of dollars in source; 2022-23 column printed as 'Budget'; matches FY2022-23 book adopted total, so basis=adopted"
111,Licensed Salaries,245595,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
111,Licensed Salaries,241282,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
111,Licensed Salaries,263124,2022-23,adopted,budget-fy2023-24-vol1,96,
111,Licensed Salaries,259988,2023-24,proposed,budget-fy2023-24-vol1,96,
111,Licensed Salaries,260753,2023-24,approved,budget-fy2023-24-vol1,96,
111,Licensed Salaries,260753,2023-24,adopted,budget-fy2023-24-vol1,96,
1121,Classified - Represented,51293,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
1121,Classified - Represented,51048,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
1121,Classified - Represented,55669,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
1121,Classified - Represented,64069,2022-23,adopted,budget-fy2023-24-vol1,96,
1121,Classified - Represented,61943,2023-24,proposed,budget-fy2023-24-vol1,96,
1121,Classified - Represented,62573,2023-24,approved,budget-fy2023-24-vol1,96,
1121,Classified - Represented,62573,2023-24,adopted,budget-fy2023-24-vol1,96,
1122,Non - Represented Staff,26814,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
1122,Non - Represented Staff,28736,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
1122,Non - Represented Staff,31458,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
1122,Non - Represented Staff,37762,2022-23,adopted,budget-fy2023-24-vol1,96,
1122,Non - Represented Staff,38915,2023-24,proposed,budget-fy2023-24-vol1,96,
1122,Non - Represented Staff,39863,2023-24,approved,budget-fy2023-24-vol1,96,
1122,Non - Represented Staff,39863,2023-24,adopted,budget-fy2023-24-vol1,96,
113,Administrators,29247,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
113,Administrators,30738,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
113,Administrators,32336,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
113,Administrators,33944,2022-23,adopted,budget-fy2023-24-vol1,96,
113,Administrators,37308,2023-24,proposed,budget-fy2023-24-vol1,96,
113,Administrators,37308,2023-24,approved,budget-fy2023-24-vol1,96,
113,Administrators,37308,2023-24,adopted,budget-fy2023-24-vol1,96,
100,Other Salaries,23482,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,printed without object code; part of 100 Salaries rollup
100,Other Salaries,15208,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
100,Other Salaries,27026,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
100,Other Salaries,20285,2022-23,adopted,budget-fy2023-24-vol1,96,
100,Other Salaries,24570,2023-24,proposed,budget-fy2023-24-vol1,96,
100,Other Salaries,29665,2023-24,approved,budget-fy2023-24-vol1,96,
100,Other Salaries,29665,2023-24,adopted,budget-fy2023-24-vol1,96,
200,Associated Payroll Costs,176456,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
200,Associated Payroll Costs,189914,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
200,Associated Payroll Costs,185132,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
200,Associated Payroll Costs,207438,2022-23,adopted,budget-fy2023-24-vol1,96,
200,Associated Payroll Costs,217977,2023-24,proposed,budget-fy2023-24-vol1,96,
200,Associated Payroll Costs,220866,2023-24,approved,budget-fy2023-24-vol1,96,
200,Associated Payroll Costs,220866,2023-24,adopted,budget-fy2023-24-vol1,96,
300,Purchased Services,84559,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
300,Purchased Services,79002,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
300,Purchased Services,87698,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
300,Purchased Services,99418,2022-23,adopted,budget-fy2023-24-vol1,96,
300,Purchased Services,110980,2023-24,proposed,budget-fy2023-24-vol1,96,
300,Purchased Services,110940,2023-24,approved,budget-fy2023-24-vol1,96,
300,Purchased Services,110940,2023-24,adopted,budget-fy2023-24-vol1,96,
400,Supplies And Materials,18945,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
400,Supplies And Materials,6908,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
400,Supplies And Materials,17800,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
400,Supplies And Materials,12939,2022-23,adopted,budget-fy2023-24-vol1,96,
400,Supplies And Materials,14140,2023-24,proposed,budget-fy2023-24-vol1,96,
400,Supplies And Materials,14151,2023-24,approved,budget-fy2023-24-vol1,96,
400,Supplies And Materials,14151,2023-24,adopted,budget-fy2023-24-vol1,96,
500,Capital Outlay,1936,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
500,Capital Outlay,1092,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
500,Capital Outlay,1861,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
500,Capital Outlay,4017,2022-23,adopted,budget-fy2023-24-vol1,96,
500,Capital Outlay,3131,2023-24,proposed,budget-fy2023-24-vol1,96,
500,Capital Outlay,3184,2023-24,approved,budget-fy2023-24-vol1,96,
500,Capital Outlay,3184,2023-24,adopted,budget-fy2023-24-vol1,96,
600,Other Objects,5235,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,2021-22 actual includes ~400.8M PERS UAL payment funded by Series 2021 FF&C pension bonds
600,Other Objects,6458,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
600,Other Objects,407988,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
600,Other Objects,8996,2022-23,adopted,budget-fy2023-24-vol1,96,
600,Other Objects,10333,2023-24,proposed,budget-fy2023-24-vol1,96,
600,Other Objects,10333,2023-24,approved,budget-fy2023-24-vol1,96,
600,Other Objects,10333,2023-24,adopted,budget-fy2023-24-vol1,96,
700,Transfers,1311,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
700,Transfers,1198,2020-21,actual-budgetary,budget-fy2023-24-vol1,96,
700,Transfers,1207,2021-22,actual-budgetary,budget-fy2023-24-vol1,96,
700,Transfers,1302,2022-23,adopted,budget-fy2023-24-vol1,96,
700,Transfers,1075,2023-24,proposed,budget-fy2023-24-vol1,96,
700,Transfers,1075,2023-24,approved,budget-fy2023-24-vol1,96,
700,Transfers,1075,2023-24,adopted,budget-fy2023-24-vol1,96,
581000,Operating Contingency,0,2019-20,actual-budgetary,budget-fy2023-24-vol1,96,
