group,fte,fy,basis,doc_id,page,notes
All Funds - 1000 Instruction,3703.25,2022-23,adopted,budget-fy2023-24-vol1,87,Budget FTE columns of all-funds requirements-by-function table
All Funds - 1000 Instruction,3445.61,2023-24,adopted,budget-fy2023-24-vol1,87,
All Funds - 2000 Support Services,2536.85,2022-23,adopted,budget-fy2023-24-vol1,87,
All Funds - 2000 Support Services,2511.98,2023-24,adopted,budget-fy2023-24-vol1,87,
All Funds - 3000 Enterprise And Community Svcs,240.83,2022-23,adopted,budget-fy2023-24-vol1,87,
All Funds - 3000 Enterprise And Community Svcs,238.87,2023-24,adopted,budget-fy2023-24-vol1,87,
All Funds - 4000 Facilities Acquisition And Con,48.8,2022-23,adopted,budget-fy2023-24-vol1,87,
All Funds - 4000 Facilities Acquisition And Con,50.0,2023-24,adopted,budget-fy2023-24-vol1,87,
All Funds - TOTAL,6529.74,2022-23,adopted,budget-fy2023-24-vol1,87,
All Funds - TOTAL,6246.46,2023-24,adopted,budget-fy2023-24-vol1,87,
General Fund - 1000 Instruction,3035.94,2022-23,adopted,budget-fy2023-24-vol1,95,
General Fund - 1000 Instruction,2886.28,2023-24,adopted,budget-fy2023-24-vol1,95,
General Fund - 2000 Support Services,2169.42,2022-23,adopted,budget-fy2023-24-vol1,95,
General Fund - 2000 Support Services,2139.72,2023-24,adopted,budget-fy2023-24-vol1,95,
General Fund - 3000 Enterprise And Community Svcs,12.88,2022-23,adopted,budget-fy2023-24-vol1,95,
General Fund - 3000 Enterprise And Community Svcs,17.55,2023-24,adopted,budget-fy2023-24-vol1,95,
General Fund - TOTAL,5218.23,2022-23,adopted,budget-fy2023-24-vol1,95,
General Fund - TOTAL,5043.55,2023-24,adopted,budget-fy2023-24-vol1,95,
All Funds - Grand Total (FTE by Major Function and Employee Type),5990.77,2019-20,actual-budgetary,budget-fy2023-24-vol1,220,column headed '2020 Actual'
All Funds - Grand Total (FTE by Major Function and Employee Type),6627.38,2020-21,actual-budgetary,budget-fy2023-24-vol1,220,column headed '2021 Actual'
All Funds - Grand Total (FTE by Major Function and Employee Type),6211.7,2021-22,actual-budgetary,budget-fy2023-24-vol1,220,column headed '2022 Actual'
All Funds - Grand Total (FTE by Major Function and Employee Type),6529.74,2022-23,adopted,budget-fy2023-24-vol1,220,column headed '2023 Adopted'
All Funds - Grand Total (FTE by Major Function and Employee Type),6246.46,2023-24,proposed,budget-fy2023-24-vol1,220,column headed '2024 Proposed'; equals Budget FTE beside Adopted column on p87
