fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
General Fund (100),633966,633966,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,native unit thousands of dollars; requirements from PDF p.152 of same doc
General Fund (100),660592,660592,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,requirements from PDF p.152 of same doc
General Fund (100),709093,709092,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,requirements from PDF p.152 of same doc
General Fund (100),747497,747497,2020-21,revised,budget-fy2021-22-vol1,151,requirements from PDF p.152 of same doc
General Fund (100),761700,761700,2021-22,proposed,budget-fy2021-22-vol1,151,requirements from PDF p.152 of same doc
General Fund (100),771963,771963,2021-22,approved,budget-fy2021-22-vol1,151,requirements from PDF p.152 of same doc
General Fund (100),771963,771963,2021-22,adopted,budget-fy2021-22-vol1,151,requirements from PDF p.152 of same doc
Special Revenue Funds (200),130612,130612,2017-18,actual-budgetary,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc
Special Revenue Funds (200),136944,136944,2018-19,actual-budgetary,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc
Special Revenue Funds (200),137253,137252,2019-20,actual-budgetary,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc
Special Revenue Funds (200),183795,183795,2020-21,revised,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc
Special Revenue Funds (200),286245,286245,2021-22,proposed,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc
Special Revenue Funds (200),303161,303161,2021-22,approved,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc
Special Revenue Funds (200),303161,303161,2021-22,adopted,budget-fy2021-22-vol1,165,requirements from PDF p.166 of same doc
Debt Service Funds (300),173608,173608,2017-18,actual-budgetary,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc
Debt Service Funds (300),184625,184625,2018-19,actual-budgetary,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc
Debt Service Funds (300),191558,191557,2019-20,actual-budgetary,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc
Debt Service Funds (300),201671,201672,2020-21,revised,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc
Debt Service Funds (300),210963,210963,2021-22,proposed,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc
Debt Service Funds (300),210963,210963,2021-22,approved,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc
Debt Service Funds (300),210963,210963,2021-22,adopted,budget-fy2021-22-vol1,208,requirements from PDF p.209 of same doc
Capital Project Funds (400),590841,590841,2017-18,actual-budgetary,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc
Capital Project Funds (400),498977,498977,2018-19,actual-budgetary,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc
Capital Project Funds (400),876613,876613,2019-20,actual-budgetary,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc
Capital Project Funds (400),1594085,1594085,2020-21,revised,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc
Capital Project Funds (400),762605,762605,2021-22,proposed,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc
Capital Project Funds (400),763758,763758,2021-22,approved,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc
Capital Project Funds (400),763758,763758,2021-22,adopted,budget-fy2021-22-vol1,227,requirements from PDF p.229 of same doc
Internal Service Funds (600),8580,8580,2017-18,actual-budgetary,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375"
Internal Service Funds (600),9908,9908,2018-19,actual-budgetary,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375"
Internal Service Funds (600),9067,9066,2019-20,actual-budgetary,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375"
Internal Service Funds (600),8533,8532,2020-21,revised,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375"
Internal Service Funds (600),8552,8552,2021-22,proposed,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375"
Internal Service Funds (600),8565,8565,2021-22,approved,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375"
Internal Service Funds (600),8565,8565,2021-22,adopted,budget-fy2021-22-vol1,266,"requirements from PDF p.268 of same doc; by-function summary p.267 (printed 260) still shows approved/adopted 8,552 - not updated for +13k contingency adjustment shown in Attachment A p.375"
