contingency_k,ending_fund_balance_k,fy,basis,doc_id,page,notes
0,38282,2017-18,actual-budgetary,budget-fy2021-22-vol1,153,"native unit thousands of dollars; General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance"
0,39887,2018-19,actual-budgetary,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance"
0,64474,2019-20,actual-budgetary,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance"
40946,0,2020-21,revised,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance"
47500,0,2021-22,proposed,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance"
51896,0,2021-22,approved,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance"
51896,0,2021-22,adopted,budget-fy2021-22-vol1,153,"General Fund (100) scope; contingency = object 581000, ending fund balance = 376520 Budgeted Ending Fund Balance"
0,558757,2017-18,actual-budgetary,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds"
0,427192,2018-19,actual-budgetary,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds"
0,782951,2019-20,actual-budgetary,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds; p.143 by-function table prints 7000 Unappropriated as 782,953 for 2019-20 vs 782,951 here - does not foot"
45715,211151,2020-21,revised,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds"
57185,358955,2021-22,proposed,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds"
61586,365183,2021-22,approved,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds"
61586,365183,2021-22,adopted,budget-fy2021-22-vol1,144,"All Funds scope; contingency = 581000 Operating Contingency, ending fund balance = 376520 Budgeted Ending Fund Balance; p.143 narrative: 2021-22 unappropriated EFB budgeted in capital, special revenue and debt service funds"
