group,fte,fy,basis,doc_id,page,notes
All Funds - 1000 Instruction,3488.04,2020-21,revised,budget-fy2021-22-vol1,143,Budget FTE columns of Summary of Requirements by Major Function - All Funds
All Funds - 1000 Instruction,3479.27,2021-22,adopted,budget-fy2021-22-vol1,143,
All Funds - 2000 Support Services,2398.41,2020-21,revised,budget-fy2021-22-vol1,143,
All Funds - 2000 Support Services,2488.88,2021-22,adopted,budget-fy2021-22-vol1,143,
All Funds - 3000 Enterprise And Community Svcs,241.42,2020-21,revised,budget-fy2021-22-vol1,143,
All Funds - 3000 Enterprise And Community Svcs,242.25,2021-22,adopted,budget-fy2021-22-vol1,143,
All Funds - 4000 Facilities Acquisition And Con,40.8,2020-21,revised,budget-fy2021-22-vol1,143,
All Funds - 4000 Facilities Acquisition And Con,39.55,2021-22,adopted,budget-fy2021-22-vol1,143,
All Funds - TOTAL,6168.67,2020-21,revised,budget-fy2021-22-vol1,143,
All Funds - TOTAL,6249.95,2021-22,adopted,budget-fy2021-22-vol1,143,
General Fund - 1000 Instruction,3047.75,2020-21,revised,budget-fy2021-22-vol1,152,
General Fund - 1000 Instruction,2966.61,2021-22,adopted,budget-fy2021-22-vol1,152,
General Fund - 2000 Support Services,2094.57,2020-21,revised,budget-fy2021-22-vol1,152,
General Fund - 2000 Support Services,2157.26,2021-22,adopted,budget-fy2021-22-vol1,152,
General Fund - 3000 Enterprise And Community Svcs,11.63,2020-21,revised,budget-fy2021-22-vol1,152,
General Fund - 3000 Enterprise And Community Svcs,11.88,2021-22,adopted,budget-fy2021-22-vol1,152,
General Fund - TOTAL,5153.95,2020-21,revised,budget-fy2021-22-vol1,152,
General Fund - TOTAL,5135.75,2021-22,adopted,budget-fy2021-22-vol1,152,
District Grand Total (FTE by Major Function and Employee Type),5775.25,2017-18,actual-budgetary,budget-fy2021-22-vol1,290,printed as 2018 Actual
District Grand Total (FTE by Major Function and Employee Type),5836.49,2018-19,actual-budgetary,budget-fy2021-22-vol1,290,printed as 2019 Actual
District Grand Total (FTE by Major Function and Employee Type),5990.77,2019-20,actual-budgetary,budget-fy2021-22-vol1,290,printed as 2020 Actual
District Grand Total (FTE by Major Function and Employee Type),6168.67,2020-21,revised,budget-fy2021-22-vol1,290,printed as 2021 Current
District Grand Total (FTE by Major Function and Employee Type),6249.95,2021-22,adopted,budget-fy2021-22-vol1,290,printed as 2022 Adopted
