source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,20104,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,native unit thousands of dollars; zero rows printed as dash
Beginning Fund Balance,38282,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
Beginning Fund Balance,39887,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
Beginning Fund Balance,64474,2020-21,revised,budget-fy2021-22-vol1,151,
Beginning Fund Balance,73909,2021-22,proposed,budget-fy2021-22-vol1,151,
Beginning Fund Balance,84845,2021-22,approved,budget-fy2021-22-vol1,151,
Beginning Fund Balance,84845,2021-22,adopted,budget-fy2021-22-vol1,151,
Current Year Property Taxes Other Than Local Option,248707,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
Current Year Property Taxes Other Than Local Option,257076,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
Current Year Property Taxes Other Than Local Option,268840,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
Current Year Property Taxes Other Than Local Option,277706,2020-21,revised,budget-fy2021-22-vol1,151,
Current Year Property Taxes Other Than Local Option,293823,2021-22,proposed,budget-fy2021-22-vol1,151,
Current Year Property Taxes Other Than Local Option,293823,2021-22,approved,budget-fy2021-22-vol1,151,
Current Year Property Taxes Other Than Local Option,293823,2021-22,adopted,budget-fy2021-22-vol1,151,
Current Year Local Option Property Taxes,88405,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
Current Year Local Option Property Taxes,94272,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
Current Year Local Option Property Taxes,97372,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
Current Year Local Option Property Taxes,100366,2020-21,revised,budget-fy2021-22-vol1,151,
Current Year Local Option Property Taxes,104279,2021-22,proposed,budget-fy2021-22-vol1,151,
Current Year Local Option Property Taxes,104279,2021-22,approved,budget-fy2021-22-vol1,151,
Current Year Local Option Property Taxes,104279,2021-22,adopted,budget-fy2021-22-vol1,151,
Other Revenue From Local Sources,17467,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
Other Revenue From Local Sources,26692,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
Other Revenue From Local Sources,17505,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
Other Revenue From Local Sources,18395,2020-21,revised,budget-fy2021-22-vol1,151,
Other Revenue From Local Sources,13398,2021-22,proposed,budget-fy2021-22-vol1,151,
Other Revenue From Local Sources,13724,2021-22,approved,budget-fy2021-22-vol1,151,
Other Revenue From Local Sources,13724,2021-22,adopted,budget-fy2021-22-vol1,151,
2000 - Revenue - Intermediate Sources,13254,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
2000 - Revenue - Intermediate Sources,13494,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
2000 - Revenue - Intermediate Sources,13768,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
2000 - Revenue - Intermediate Sources,14027,2020-21,revised,budget-fy2021-22-vol1,151,
2000 - Revenue - Intermediate Sources,13762,2021-22,proposed,budget-fy2021-22-vol1,151,
2000 - Revenue - Intermediate Sources,12762,2021-22,approved,budget-fy2021-22-vol1,151,
2000 - Revenue - Intermediate Sources,12762,2021-22,adopted,budget-fy2021-22-vol1,151,
3000 - Revenue From State Sources,244959,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
3000 - Revenue From State Sources,230628,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
3000 - Revenue From State Sources,271620,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
3000 - Revenue From State Sources,272479,2020-21,revised,budget-fy2021-22-vol1,151,
3000 - Revenue From State Sources,261465,2021-22,proposed,budget-fy2021-22-vol1,151,
3000 - Revenue From State Sources,261465,2021-22,approved,budget-fy2021-22-vol1,151,
3000 - Revenue From State Sources,261465,2021-22,adopted,budget-fy2021-22-vol1,151,
4000 - Revenue From Federal Sources,22,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
4000 - Revenue From Federal Sources,80,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
4000 - Revenue From Federal Sources,84,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
4000 - Revenue From Federal Sources,0,2020-21,revised,budget-fy2021-22-vol1,151,
4000 - Revenue From Federal Sources,15,2021-22,proposed,budget-fy2021-22-vol1,151,
4000 - Revenue From Federal Sources,15,2021-22,approved,budget-fy2021-22-vol1,151,
4000 - Revenue From Federal Sources,15,2021-22,adopted,budget-fy2021-22-vol1,151,
5200 - Interfund Transfers,1006,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
5200 - Interfund Transfers,14,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
5200 - Interfund Transfers,0,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
5200 - Interfund Transfers,0,2020-21,revised,budget-fy2021-22-vol1,151,
5200 - Interfund Transfers,0,2021-22,proposed,budget-fy2021-22-vol1,151,
5200 - Interfund Transfers,0,2021-22,approved,budget-fy2021-22-vol1,151,
5200 - Interfund Transfers,0,2021-22,adopted,budget-fy2021-22-vol1,151,
All Other Budget Resources,41,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
All Other Budget Resources,55,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
All Other Budget Resources,17,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
All Other Budget Resources,50,2020-21,revised,budget-fy2021-22-vol1,151,
All Other Budget Resources,1050,2021-22,proposed,budget-fy2021-22-vol1,151,
All Other Budget Resources,1050,2021-22,approved,budget-fy2021-22-vol1,151,
All Other Budget Resources,1050,2021-22,adopted,budget-fy2021-22-vol1,151,
TOTAL RESOURCES,633966,2017-18,actual-budgetary,budget-fy2021-22-vol1,151,
TOTAL RESOURCES,660592,2018-19,actual-budgetary,budget-fy2021-22-vol1,151,
TOTAL RESOURCES,709093,2019-20,actual-budgetary,budget-fy2021-22-vol1,151,
TOTAL RESOURCES,747497,2020-21,revised,budget-fy2021-22-vol1,151,
TOTAL RESOURCES,761700,2021-22,proposed,budget-fy2021-22-vol1,151,
TOTAL RESOURCES,771963,2021-22,approved,budget-fy2021-22-vol1,151,
TOTAL RESOURCES,771963,2021-22,adopted,budget-fy2021-22-vol1,151,
