bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes
2012 GO (2013 & 2015 issuances),Faubion PreK-8 Replacement,,25302.38,,FY2016-17 adopted,budget-fy2016-17-book,146,"native unit whole dollars; amounts are the FY2016/17 budget-year appropriation by major project (Fund 450), NOT original/life-of-project budgets, which this book does not print"
2012 GO (2013 & 2015 issuances),Franklin High School Full Modernization,,77048.547,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Grant High School Full Modernization,,31403.523,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Roosevelt High School Full Modernization,,68108.682,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Summer Improvement Project 2016 (IP 16),,12462.83,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Summer Improvement Project 2017 (IP 17),,2889.252,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Master Planning - Benson HS,,298.916,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Master Planning - Lincoln HS,,234.763,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Master Planning - Madison HS,,270.02,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Subtotal Project Budget,,218018.913,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Budgetary Contingency,,52628.301,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
2012 GO (2013 & 2015 issuances),Total Requirements,,270647.214,,FY2016-17 adopted,budget-fy2016-17-book,146,"single-year FY2016/17 budget amount, not life-of-project estimate"
