fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
101 General Fund,,579158.367,2015-16,revised,budget-fy2016-17-book,66,native unit whole dollars; table prints requirements only (Oregon budgets balance per fund; per-fund resources not tabulated here)
101 General Fund,,591888.109,2016-17,proposed,budget-fy2016-17-book,66,
101 General Fund,,592043.109,2016-17,approved,budget-fy2016-17-book,66,
101 General Fund,,592600.18,2016-17,adopted,budget-fy2016-17-book,66,
201 Student Body Activity Fund,,12521.725,2015-16,revised,budget-fy2016-17-book,66,
201 Student Body Activity Fund,,12521.725,2016-17,proposed,budget-fy2016-17-book,66,
201 Student Body Activity Fund,,12521.725,2016-17,approved,budget-fy2016-17-book,66,
201 Student Body Activity Fund,,12521.725,2016-17,adopted,budget-fy2016-17-book,66,
202 Cafeteria Fund,,24320.277,2015-16,revised,budget-fy2016-17-book,66,
202 Cafeteria Fund,,24302.556,2016-17,proposed,budget-fy2016-17-book,66,
202 Cafeteria Fund,,24302.556,2016-17,approved,budget-fy2016-17-book,66,
202 Cafeteria Fund,,24302.556,2016-17,adopted,budget-fy2016-17-book,66,
205 Grants Fund,,64735.028,2015-16,revised,budget-fy2016-17-book,66,
205 Grants Fund,,69007.282,2016-17,proposed,budget-fy2016-17-book,66,
205 Grants Fund,,69007.282,2016-17,approved,budget-fy2016-17-book,66,
205 Grants Fund,,69334.196,2016-17,adopted,budget-fy2016-17-book,66,
225 PERS Rate Stabilization Reserve Fund,,16338.514,2015-16,revised,budget-fy2016-17-book,66,
225 PERS Rate Stabilization Reserve Fund,,16688.299,2016-17,proposed,budget-fy2016-17-book,66,
225 PERS Rate Stabilization Reserve Fund,,16688.299,2016-17,approved,budget-fy2016-17-book,66,
225 PERS Rate Stabilization Reserve Fund,,16688.299,2016-17,adopted,budget-fy2016-17-book,66,
299 Dedicated Resource Fund,,17106.653,2015-16,revised,budget-fy2016-17-book,66,
299 Dedicated Resource Fund,,13102.048,2016-17,proposed,budget-fy2016-17-book,66,
299 Dedicated Resource Fund,,13102.048,2016-17,approved,budget-fy2016-17-book,66,
299 Dedicated Resource Fund,,13102.048,2016-17,adopted,budget-fy2016-17-book,66,
307 IT Projects Debt Service Fund,,2707.98,2015-16,revised,budget-fy2016-17-book,66,
307 IT Projects Debt Service Fund,,2707.434,2016-17,proposed,budget-fy2016-17-book,66,
307 IT Projects Debt Service Fund,,2707.434,2016-17,approved,budget-fy2016-17-book,66,
307 IT Projects Debt Service Fund,,2707.434,2016-17,adopted,budget-fy2016-17-book,66,
308 PERS UAL Debt Service Fund,,43847.574,2015-16,revised,budget-fy2016-17-book,66,
308 PERS UAL Debt Service Fund,,45667.574,2016-17,proposed,budget-fy2016-17-book,66,
308 PERS UAL Debt Service Fund,,45667.574,2016-17,approved,budget-fy2016-17-book,66,
308 PERS UAL Debt Service Fund,,45667.574,2016-17,adopted,budget-fy2016-17-book,66,
320 Full Faith and Credit Debt Service Fund,,1285.549,2015-16,revised,budget-fy2016-17-book,66,
320 Full Faith and Credit Debt Service Fund,,1266.926,2016-17,proposed,budget-fy2016-17-book,66,
320 Full Faith and Credit Debt Service Fund,,1266.926,2016-17,approved,budget-fy2016-17-book,66,
320 Full Faith and Credit Debt Service Fund,,1266.926,2016-17,adopted,budget-fy2016-17-book,66,
338 Facilities Capital Debt Service Fund,,323.53,2016-17,approved,budget-fy2016-17-book,66,new fund; first appears at approved stage (dash in Current 2015/16 and Proposed columns)
338 Facilities Capital Debt Service Fund,,323.53,2016-17,adopted,budget-fy2016-17-book,66,
350 GO Bonds Debt Service Funds,,48711.589,2015-16,revised,budget-fy2016-17-book,66,
350 GO Bonds Debt Service Funds,,50128.598,2016-17,proposed,budget-fy2016-17-book,66,
350 GO Bonds Debt Service Funds,,49718.598,2016-17,approved,budget-fy2016-17-book,66,
350 GO Bonds Debt Service Funds,,49718.598,2016-17,adopted,budget-fy2016-17-book,66,
404 Construction Excise Fund,,18439.955,2015-16,revised,budget-fy2016-17-book,66,
404 Construction Excise Fund,,21376.273,2016-17,proposed,budget-fy2016-17-book,66,
404 Construction Excise Fund,,21376.273,2016-17,approved,budget-fy2016-17-book,66,
404 Construction Excise Fund,,21376.273,2016-17,adopted,budget-fy2016-17-book,66,
407 IT System Project Fund,,5273.251,2015-16,revised,budget-fy2016-17-book,66,
407 IT System Project Fund,,1125.061,2016-17,proposed,budget-fy2016-17-book,66,
407 IT System Project Fund,,1467.822,2016-17,approved,budget-fy2016-17-book,66,
