source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,37457.015,2013-14,actual-budgetary,budget-fy2016-17-book,87,native unit whole dollars; account 376510
Beginning Fund Balance,51673.785,2014-15,actual-budgetary,budget-fy2016-17-book,87,account 376510
Beginning Fund Balance,34441.54,2015-16,revised,budget-fy2016-17-book,87,account 376510
Beginning Fund Balance,25167.901,2016-17,proposed,budget-fy2016-17-book,87,account 376510
Beginning Fund Balance,25167.901,2016-17,approved,budget-fy2016-17-book,87,account 376510
Beginning Fund Balance,25719.308,2016-17,adopted,budget-fy2016-17-book,87,account 376510
Revenue from Taxes,268176.807,2013-14,actual-budgetary,budget-fy2016-17-book,88,printed subtotal
Revenue from Taxes,285186.236,2014-15,actual-budgetary,budget-fy2016-17-book,88,printed subtotal
Revenue from Taxes,309577.394,2015-16,revised,budget-fy2016-17-book,88,printed subtotal
Revenue from Taxes,320700.76,2016-17,proposed,budget-fy2016-17-book,88,printed subtotal
Revenue from Taxes,320700.76,2016-17,approved,budget-fy2016-17-book,88,printed subtotal
Revenue from Taxes,320700.76,2016-17,adopted,budget-fy2016-17-book,88,printed subtotal
Tuition,279.189,2013-14,actual-budgetary,budget-fy2016-17-book,88,printed subtotal
Tuition,148.914,2014-15,actual-budgetary,budget-fy2016-17-book,88,printed subtotal
Tuition,205,2015-16,revised,budget-fy2016-17-book,88,printed subtotal
Tuition,185,2016-17,proposed,budget-fy2016-17-book,88,printed subtotal
Tuition,185,2016-17,approved,budget-fy2016-17-book,88,printed subtotal
Tuition,185,2016-17,adopted,budget-fy2016-17-book,88,printed subtotal
Earnings on Investment,238.954,2013-14,actual-budgetary,budget-fy2016-17-book,88,printed subtotal
Earnings on Investment,715.795,2014-15,actual-budgetary,budget-fy2016-17-book,88,printed subtotal
Earnings on Investment,300,2015-16,revised,budget-fy2016-17-book,88,printed subtotal
Earnings on Investment,1000,2016-17,proposed,budget-fy2016-17-book,88,printed subtotal
Earnings on Investment,1000,2016-17,approved,budget-fy2016-17-book,88,printed subtotal
Earnings on Investment,1000,2016-17,adopted,budget-fy2016-17-book,88,printed subtotal
Extra-curricular Activities,828.513,2013-14,actual-budgetary,budget-fy2016-17-book,88,printed subtotal
Extra-curricular Activities,656.892,2014-15,actual-budgetary,budget-fy2016-17-book,88,printed subtotal
Extra-curricular Activities,679.5,2015-16,revised,budget-fy2016-17-book,88,printed subtotal
Extra-curricular Activities,679.5,2016-17,proposed,budget-fy2016-17-book,88,printed subtotal
Extra-curricular Activities,679.5,2016-17,approved,budget-fy2016-17-book,88,printed subtotal
Extra-curricular Activities,679.5,2016-17,adopted,budget-fy2016-17-book,88,printed subtotal
Other Revenue from Local Sources,8331.042,2013-14,actual-budgetary,budget-fy2016-17-book,89,printed subtotal
Other Revenue from Local Sources,9837.991,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal
Other Revenue from Local Sources,8513.67,2015-16,revised,budget-fy2016-17-book,89,printed subtotal
Other Revenue from Local Sources,8237.056,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal
Other Revenue from Local Sources,8392.056,2016-17,approved,budget-fy2016-17-book,89,printed subtotal
Other Revenue from Local Sources,8397.72,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal
Intermediate Sources,12162.79,2013-14,actual-budgetary,budget-fy2016-17-book,89,printed subtotal
Intermediate Sources,12679.005,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal
Intermediate Sources,13021.202,2015-16,revised,budget-fy2016-17-book,89,printed subtotal
Intermediate Sources,13021.202,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal
Intermediate Sources,13021.202,2016-17,approved,budget-fy2016-17-book,89,printed subtotal
Intermediate Sources,13021.202,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal
State School Fund General Support,184689.998,2013-14,actual-budgetary,budget-fy2016-17-book,89,account 431010; component of State Sources
State School Fund General Support,179505.339,2014-15,actual-budgetary,budget-fy2016-17-book,89,account 431010; component of State Sources
State School Fund General Support,207729.221,2015-16,revised,budget-fy2016-17-book,89,account 431010; component of State Sources
State School Fund General Support,218306.69,2016-17,proposed,budget-fy2016-17-book,89,account 431010; component of State Sources
State School Fund General Support,218306.69,2016-17,approved,budget-fy2016-17-book,89,account 431010; component of State Sources
State School Fund General Support,218306.69,2016-17,adopted,budget-fy2016-17-book,89,account 431010; component of State Sources
Common School Fund,4427.154,2013-14,actual-budgetary,budget-fy2016-17-book,89,account 431030; component of State Sources
Common School Fund,4721.234,2014-15,actual-budgetary,budget-fy2016-17-book,89,account 431030; component of State Sources
Common School Fund,4490,2015-16,revised,budget-fy2016-17-book,89,account 431030; component of State Sources
Common School Fund,4490,2016-17,proposed,budget-fy2016-17-book,89,account 431030; component of State Sources
Common School Fund,4490,2016-17,approved,budget-fy2016-17-book,89,account 431030; component of State Sources
Common School Fund,4490,2016-17,adopted,budget-fy2016-17-book,89,account 431030; component of State Sources
State Sources,189117.152,2013-14,actual-budgetary,budget-fy2016-17-book,89,printed subtotal
State Sources,184226.573,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal
State Sources,212219.221,2015-16,revised,budget-fy2016-17-book,89,printed subtotal
State Sources,222796.69,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal
State Sources,222796.69,2016-17,approved,budget-fy2016-17-book,89,printed subtotal
State Sources,222796.69,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal
Federal Sources,40.466,2013-14,actual-budgetary,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero)
Federal Sources,59.685,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero)
Federal Sources,0.84,2015-16,revised,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero)
Federal Sources,0,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero)
Federal Sources,0,2016-17,approved,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero)
Federal Sources,0,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal; 2016/17 columns printed as dash (zero)
Other Sources,13.737,2013-14,actual-budgetary,budget-fy2016-17-book,89,printed subtotal
Other Sources,43.855,2014-15,actual-budgetary,budget-fy2016-17-book,89,printed subtotal
Other Sources,200,2015-16,revised,budget-fy2016-17-book,89,printed subtotal
Other Sources,100,2016-17,proposed,budget-fy2016-17-book,89,printed subtotal
Other Sources,100,2016-17,approved,budget-fy2016-17-book,89,printed subtotal
Other Sources,100,2016-17,adopted,budget-fy2016-17-book,89,printed subtotal
Total Resources,516645.665,2013-14,actual-budgetary,budget-fy2016-17-book,89,Total Resources by Account
Total Resources,545228.731,2014-15,actual-budgetary,budget-fy2016-17-book,89,Total Resources by Account
Total Resources,579158.367,2015-16,revised,budget-fy2016-17-book,89,Total Resources by Account
Total Resources,591888.109,2016-17,proposed,budget-fy2016-17-book,89,Total Resources by Account
Total Resources,592043.109,2016-17,approved,budget-fy2016-17-book,89,Total Resources by Account
Total Resources,592600.18,2016-17,adopted,budget-fy2016-17-book,89,Total Resources by Account
