group,fte,fy,basis,doc_id,page,notes
Instruction,3509.18,2016-17,adopted,budget-fy2016-17-book,57,"Staffing Summary by Program and Fund, adopted 2016/17; allocations described as preliminary; all funds"
Instructional Support Services,846.13,2016-17,adopted,budget-fy2016-17-book,57,all funds
Support Services - General Administration,1071.75,2016-17,adopted,budget-fy2016-17-book,57,all funds
Central Support,162.17,2016-17,adopted,budget-fy2016-17-book,57,all funds
Enterprise and Community Services,226.40,2016-17,adopted,budget-fy2016-17-book,57,all funds
Facilities Acquisition and Construction,20.80,2016-17,adopted,budget-fy2016-17-book,57,all funds
Total FTE,5836.43,2016-17,adopted,budget-fy2016-17-book,57,all funds
Instruction,3088.45,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only
Instructional Support Services,703.95,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only
Support Services - General Administration,1062.38,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only
Central Support,160.22,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only
Enterprise and Community Services,8.22,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only
Total FTE,5023.22,2016-17,adopted,budget-fy2016-17-book,57,Fund 101 General Fund only
