object_code,label,amount_k,fy,basis,doc_id,page,notes
111,Licensed Salaries,224724,2018-19,actual-budgetary,budget-fy2022-23-vol1,151,"native unit thousands of dollars in source; 2021-22 column printed as 'Budget', recorded as adopted"
111,Licensed Salaries,225339,2019-20,actual-budgetary,budget-fy2022-23-vol1,151,
111,Licensed Salaries,245595,2020-21,actual-budgetary,budget-fy2022-23-vol1,151,
111,Licensed Salaries,247667,2021-22,adopted,budget-fy2022-23-vol1,151,
111,Licensed Salaries,260343,2022-23,proposed,budget-fy2022-23-vol1,151,
111,Licensed Salaries,263124,2022-23,approved,budget-fy2022-23-vol1,151,
111,Licensed Salaries,263124,2022-23,adopted,budget-fy2022-23-vol1,151,
1121,Classified - Represented,46871,2018-19,actual-budgetary,budget-fy2022-23-vol1,151,
1121,Classified - Represented,51293,2019-20,actual-budgetary,budget-fy2022-23-vol1,151,
1121,Classified - Represented,51048,2020-21,actual-budgetary,budget-fy2022-23-vol1,151,
1121,Classified - Represented,59367,2021-22,adopted,budget-fy2022-23-vol1,151,
1121,Classified - Represented,63156,2022-23,proposed,budget-fy2022-23-vol1,151,
1121,Classified - Represented,64069,2022-23,approved,budget-fy2022-23-vol1,151,
1121,Classified - Represented,64069,2022-23,adopted,budget-fy2022-23-vol1,151,
1122,Non - Represented Staff,23853,2018-19,actual-budgetary,budget-fy2022-23-vol1,151,
1122,Non - Represented Staff,26814,2019-20,actual-budgetary,budget-fy2022-23-vol1,151,
1122,Non - Represented Staff,28736,2020-21,actual-budgetary,budget-fy2022-23-vol1,151,
1122,Non - Represented Staff,34698,2021-22,adopted,budget-fy2022-23-vol1,151,
1122,Non - Represented Staff,37762,2022-23,proposed,budget-fy2022-23-vol1,151,
1122,Non - Represented Staff,37762,2022-23,approved,budget-fy2022-23-vol1,151,
1122,Non - Represented Staff,37762,2022-23,adopted,budget-fy2022-23-vol1,151,
113,Administrators,26199,2018-19,actual-budgetary,budget-fy2022-23-vol1,151,
113,Administrators,29247,2019-20,actual-budgetary,budget-fy2022-23-vol1,151,
113,Administrators,30738,2020-21,actual-budgetary,budget-fy2022-23-vol1,151,
113,Administrators,33682,2021-22,adopted,budget-fy2022-23-vol1,151,
113,Administrators,33944,2022-23,proposed,budget-fy2022-23-vol1,151,
113,Administrators,33944,2022-23,approved,budget-fy2022-23-vol1,151,
113,Administrators,33944,2022-23,adopted,budget-fy2022-23-vol1,151,
100,Other Salaries,23236,2018-19,actual-budgetary,budget-fy2022-23-vol1,151,
100,Other Salaries,23482,2019-20,actual-budgetary,budget-fy2022-23-vol1,151,
100,Other Salaries,15208,2020-21,actual-budgetary,budget-fy2022-23-vol1,151,
100,Other Salaries,21101,2021-22,adopted,budget-fy2022-23-vol1,151,
100,Other Salaries,19448,2022-23,proposed,budget-fy2022-23-vol1,151,
100,Other Salaries,20285,2022-23,approved,budget-fy2022-23-vol1,151,
100,Other Salaries,20285,2022-23,adopted,budget-fy2022-23-vol1,151,
200,Associated Payroll Costs,159479,2018-19,actual-budgetary,budget-fy2022-23-vol1,151,
200,Associated Payroll Costs,176456,2019-20,actual-budgetary,budget-fy2022-23-vol1,151,
200,Associated Payroll Costs,189914,2020-21,actual-budgetary,budget-fy2022-23-vol1,151,
200,Associated Payroll Costs,193128,2021-22,adopted,budget-fy2022-23-vol1,151,
200,Associated Payroll Costs,205360,2022-23,proposed,budget-fy2022-23-vol1,151,
200,Associated Payroll Costs,207438,2022-23,approved,budget-fy2022-23-vol1,151,
200,Associated Payroll Costs,207438,2022-23,adopted,budget-fy2022-23-vol1,151,
300,Purchased Services,87227,2018-19,actual-budgetary,budget-fy2022-23-vol1,151,
300,Purchased Services,84559,2019-20,actual-budgetary,budget-fy2022-23-vol1,151,
300,Purchased Services,79002,2020-21,actual-budgetary,budget-fy2022-23-vol1,151,
300,Purchased Services,99694,2021-22,adopted,budget-fy2022-23-vol1,151,
300,Purchased Services,96956,2022-23,proposed,budget-fy2022-23-vol1,151,
300,Purchased Services,99418,2022-23,approved,budget-fy2022-23-vol1,151,
300,Purchased Services,99418,2022-23,adopted,budget-fy2022-23-vol1,151,
400,Supplies And Materials,16788,2018-19,actual-budgetary,budget-fy2022-23-vol1,151,
400,Supplies And Materials,18945,2019-20,actual-budgetary,budget-fy2022-23-vol1,151,
400,Supplies And Materials,6908,2020-21,actual-budgetary,budget-fy2022-23-vol1,151,
400,Supplies And Materials,17204,2021-22,adopted,budget-fy2022-23-vol1,151,
