function_code,label,amount_k,fy,basis,doc_id,page,notes
1000,Instruction,316029.450,2015-16,actual-budgetary,budget-fy2018-19-book,74,native unit whole dollars
1000,Instruction,324119.387,2016-17,actual-budgetary,budget-fy2018-19-book,74,
1000,Instruction,340313.152,2017-18,revised,budget-fy2018-19-book,74,
1000,Instruction,353539.400,2018-19,proposed,budget-fy2018-19-book,74,
1000,Instruction,350108.662,2018-19,approved,budget-fy2018-19-book,74,
1000,Instruction,349858.662,2018-19,adopted,budget-fy2018-19-book,74,
2000,Support Services,220666.070,2015-16,actual-budgetary,budget-fy2018-19-book,74,
2000,Support Services,238435.194,2016-17,actual-budgetary,budget-fy2018-19-book,74,
2000,Support Services,248944.055,2017-18,revised,budget-fy2018-19-book,74,
2000,Support Services,264884.178,2018-19,proposed,budget-fy2018-19-book,74,
2000,Support Services,272247.648,2018-19,approved,budget-fy2018-19-book,74,
2000,Support Services,272497.648,2018-19,adopted,budget-fy2018-19-book,74,
3000,Enterprise & Community Services,1793.982,2015-16,actual-budgetary,budget-fy2018-19-book,74,
3000,Enterprise & Community Services,1700.501,2016-17,actual-budgetary,budget-fy2018-19-book,74,
3000,Enterprise & Community Services,2336.099,2017-18,revised,budget-fy2018-19-book,74,
3000,Enterprise & Community Services,1413.095,2018-19,proposed,budget-fy2018-19-book,74,
3000,Enterprise & Community Services,1515.284,2018-19,approved,budget-fy2018-19-book,74,
3000,Enterprise & Community Services,1515.284,2018-19,adopted,budget-fy2018-19-book,74,
4000,Facilities Acquisition & Construction,0.000,2015-16,actual-budgetary,budget-fy2018-19-book,74,
4000,Facilities Acquisition & Construction,0.000,2016-17,actual-budgetary,budget-fy2018-19-book,74,
4000,Facilities Acquisition & Construction,0.000,2017-18,revised,budget-fy2018-19-book,74,
4000,Facilities Acquisition & Construction,0.000,2018-19,proposed,budget-fy2018-19-book,74,
4000,Facilities Acquisition & Construction,0.000,2018-19,approved,budget-fy2018-19-book,74,
4000,Facilities Acquisition & Construction,0.000,2018-19,adopted,budget-fy2018-19-book,74,
5000,Debt Service & Transfers Out,7407.357,2015-16,actual-budgetary,budget-fy2018-19-book,74,
5000,Debt Service & Transfers Out,15941.275,2016-17,actual-budgetary,budget-fy2018-19-book,74,
5000,Debt Service & Transfers Out,5335.441,2017-18,revised,budget-fy2018-19-book,74,
5000,Debt Service & Transfers Out,6912.441,2018-19,proposed,budget-fy2018-19-book,74,
5000,Debt Service & Transfers Out,5878.818,2018-19,approved,budget-fy2018-19-book,74,
5000,Debt Service & Transfers Out,5878.818,2018-19,adopted,budget-fy2018-19-book,74,
6000,Contingency,0.000,2015-16,actual-budgetary,budget-fy2018-19-book,74,
6000,Contingency,0.000,2016-17,actual-budgetary,budget-fy2018-19-book,74,
6000,Contingency,19733.094,2017-18,revised,budget-fy2018-19-book,74,
6000,Contingency,23789.826,2018-19,proposed,budget-fy2018-19-book,74,
6000,Contingency,25252.055,2018-19,approved,budget-fy2018-19-book,74,
6000,Contingency,25252.055,2018-19,adopted,budget-fy2018-19-book,74,
7000,Ending Fund Balance,37835.045,2015-16,actual-budgetary,budget-fy2018-19-book,74,
