fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
101 General Fund,583731.903,583731.903,2015-16,actual-budgetary,budget-fy2018-19-book,83,native unit whole dollars; resources_k=requirements_k because each fund detail prints one balanced total (Total Resources by Account = Total Requirements)
101 General Fund,600300.820,600300.820,2016-17,actual-budgetary,budget-fy2018-19-book,83,
101 General Fund,631466.922,631466.922,2017-18,revised,budget-fy2018-19-book,83,
101 General Fund,650538.941,650538.941,2018-19,proposed,budget-fy2018-19-book,83,
101 General Fund,655002.466,655002.466,2018-19,approved,budget-fy2018-19-book,83,
101 General Fund,655002.466,655002.466,2018-19,adopted,budget-fy2018-19-book,83,
201 Student Body Activity Fund,11926.225,11926.225,2015-16,actual-budgetary,budget-fy2018-19-book,93,
201 Student Body Activity Fund,11585.302,11585.302,2016-17,actual-budgetary,budget-fy2018-19-book,93,
201 Student Body Activity Fund,13257.383,13257.383,2017-18,revised,budget-fy2018-19-book,93,
201 Student Body Activity Fund,13057.383,13057.383,2018-19,proposed,budget-fy2018-19-book,93,
201 Student Body Activity Fund,13057.383,13057.383,2018-19,approved,budget-fy2018-19-book,93,
201 Student Body Activity Fund,13057.383,13057.383,2018-19,adopted,budget-fy2018-19-book,93,
202 Cafeteria Fund,24507.905,24507.905,2015-16,actual-budgetary,budget-fy2018-19-book,94,
202 Cafeteria Fund,24468.316,24468.316,2016-17,actual-budgetary,budget-fy2018-19-book,94,
202 Cafeteria Fund,24116.008,24116.008,2017-18,revised,budget-fy2018-19-book,94,
202 Cafeteria Fund,21656.234,21656.234,2018-19,proposed,budget-fy2018-19-book,94,
202 Cafeteria Fund,22106.234,22106.234,2018-19,approved,budget-fy2018-19-book,94,
202 Cafeteria Fund,22106.234,22106.234,2018-19,adopted,budget-fy2018-19-book,94,
205 Grants Fund,58568.194,58568.194,2015-16,actual-budgetary,budget-fy2018-19-book,97,
205 Grants Fund,59803.272,59803.272,2016-17,actual-budgetary,budget-fy2018-19-book,97,
205 Grants Fund,83496.898,83496.898,2017-18,revised,budget-fy2018-19-book,97,
205 Grants Fund,66795.838,66795.838,2018-19,proposed,budget-fy2018-19-book,97,
205 Grants Fund,66795.838,66795.838,2018-19,approved,budget-fy2018-19-book,97,
205 Grants Fund,66795.838,66795.838,2018-19,adopted,budget-fy2018-19-book,97,
225 PERS Rate Stabilization Reserve Fund,16396.181,16396.181,2015-16,actual-budgetary,budget-fy2018-19-book,106,
225 PERS Rate Stabilization Reserve Fund,16813.301,16813.301,2016-17,actual-budgetary,budget-fy2018-19-book,106,
225 PERS Rate Stabilization Reserve Fund,17138.218,17138.218,2017-18,revised,budget-fy2018-19-book,106,
225 PERS Rate Stabilization Reserve Fund,17453.649,17453.649,2018-19,proposed,budget-fy2018-19-book,106,
225 PERS Rate Stabilization Reserve Fund,17520.983,17520.983,2018-19,approved,budget-fy2018-19-book,106,
225 PERS Rate Stabilization Reserve Fund,17520.983,17520.983,2018-19,adopted,budget-fy2018-19-book,106,
299 Dedicated Resource Fund,15097.013,15097.013,2015-16,actual-budgetary,budget-fy2018-19-book,107,
299 Dedicated Resource Fund,14809.022,14809.022,2016-17,actual-budgetary,budget-fy2018-19-book,107,
299 Dedicated Resource Fund,16653.023,16653.023,2017-18,revised,budget-fy2018-19-book,107,
299 Dedicated Resource Fund,10778.358,10778.358,2018-19,proposed,budget-fy2018-19-book,107,
299 Dedicated Resource Fund,10828.358,10828.358,2018-19,approved,budget-fy2018-19-book,107,
299 Dedicated Resource Fund,10828.358,10828.358,2018-19,adopted,budget-fy2018-19-book,107,
307 IT Projects Debt Service Fund,2707.980,2707.980,2015-16,actual-budgetary,budget-fy2018-19-book,114,
307 IT Projects Debt Service Fund,2707.434,2707.434,2016-17,actual-budgetary,budget-fy2018-19-book,114,
307 IT Projects Debt Service Fund,2708.168,2708.168,2017-18,revised,budget-fy2018-19-book,114,
307 IT Projects Debt Service Fund,2708.046,2708.046,2018-19,proposed,budget-fy2018-19-book,114,
307 IT Projects Debt Service Fund,2708.046,2708.046,2018-19,approved,budget-fy2018-19-book,114,
307 IT Projects Debt Service Fund,2708.046,2708.046,2018-19,adopted,budget-fy2018-19-book,114,
308 PERS UAL Debt Service Fund,42318.303,42318.303,2015-16,actual-budgetary,budget-fy2018-19-book,115,
308 PERS UAL Debt Service Fund,44775.447,44775.447,2016-17,actual-budgetary,budget-fy2018-19-book,115,
308 PERS UAL Debt Service Fund,47515.450,47515.450,2017-18,revised,budget-fy2018-19-book,115,
308 PERS UAL Debt Service Fund,49495.449,49495.449,2018-19,proposed,budget-fy2018-19-book,115,
308 PERS UAL Debt Service Fund,50024.061,50024.061,2018-19,approved,budget-fy2018-19-book,115,
308 PERS UAL Debt Service Fund,50024.061,50024.061,2018-19,adopted,budget-fy2018-19-book,115,
320 Full Faith and Credit Debt Service Fund,1285.548,1285.548,2015-16,actual-budgetary,budget-fy2018-19-book,116,
320 Full Faith and Credit Debt Service Fund,1351.617,1351.617,2016-17,actual-budgetary,budget-fy2018-19-book,116,
320 Full Faith and Credit Debt Service Fund,1859.707,1859.707,2017-18,revised,budget-fy2018-19-book,116,
320 Full Faith and Credit Debt Service Fund,2053.659,2053.659,2018-19,proposed,budget-fy2018-19-book,116,
320 Full Faith and Credit Debt Service Fund,1846.785,1846.785,2018-19,approved,budget-fy2018-19-book,116,
320 Full Faith and Credit Debt Service Fund,1846.785,1846.785,2018-19,adopted,budget-fy2018-19-book,116,
350 GO Bonds Debt Service Fund,50020.758,50020.758,2015-16,actual-budgetary,budget-fy2018-19-book,117,
350 GO Bonds Debt Service Fund,52040.349,52040.349,2016-17,actual-budgetary,budget-fy2018-19-book,117,
350 GO Bonds Debt Service Fund,119539.530,119539.530,2017-18,revised,budget-fy2018-19-book,117,
350 GO Bonds Debt Service Fund,122720.800,122720.800,2018-19,proposed,budget-fy2018-19-book,117,
350 GO Bonds Debt Service Fund,123733.382,123733.382,2018-19,approved,budget-fy2018-19-book,117,
350 GO Bonds Debt Service Fund,123733.382,123733.382,2018-19,adopted,budget-fy2018-19-book,117,
404 Construction Excise Fund,18917.150,18917.150,2015-16,actual-budgetary,budget-fy2018-19-book,118,
404 Construction Excise Fund,23223.425,23223.425,2016-17,actual-budgetary,budget-fy2018-19-book,118,
404 Construction Excise Fund,23529.981,23529.981,2017-18,revised,budget-fy2018-19-book,118,
404 Construction Excise Fund,20840.864,20840.864,2018-19,proposed,budget-fy2018-19-book,118,
404 Construction Excise Fund,20840.864,20840.864,2018-19,approved,budget-fy2018-19-book,118,
404 Construction Excise Fund,20840.864,20840.864,2018-19,adopted,budget-fy2018-19-book,118,
407 IT System Project Fund,5287.020,5287.020,2015-16,actual-budgetary,budget-fy2018-19-book,120,
407 IT System Project Fund,1907.256,1907.256,2016-17,actual-budgetary,budget-fy2018-19-book,120,
407 IT System Project Fund,1364.566,1364.566,2017-18,revised,budget-fy2018-19-book,120,
407 IT System Project Fund,821.368,821.368,2018-19,proposed,budget-fy2018-19-book,120,
407 IT System Project Fund,774.699,774.699,2018-19,approved,budget-fy2018-19-book,120,
407 IT System Project Fund,774.699,774.699,2018-19,adopted,budget-fy2018-19-book,120,
420 Full Faith and Credit Fund,55.380,55.380,2015-16,actual-budgetary,budget-fy2018-19-book,122,
420 Full Faith and Credit Fund,19280.737,19280.737,2016-17,actual-budgetary,budget-fy2018-19-book,122,
420 Full Faith and Credit Fund,10364.791,10364.791,2017-18,revised,budget-fy2018-19-book,122,
420 Full Faith and Credit Fund,4318.975,4318.975,2018-19,proposed,budget-fy2018-19-book,122,
420 Full Faith and Credit Fund,4318.975,4318.975,2018-19,approved,budget-fy2018-19-book,122,
420 Full Faith and Credit Fund,4318.975,4318.975,2018-19,adopted,budget-fy2018-19-book,122,
435 Energy Efficient Schools Fund,1596.717,1596.717,2015-16,actual-budgetary,budget-fy2018-19-book,124,
435 Energy Efficient Schools Fund,2447.840,2447.840,2016-17,actual-budgetary,budget-fy2018-19-book,124,
435 Energy Efficient Schools Fund,2694.273,2694.273,2017-18,revised,budget-fy2018-19-book,124,
435 Energy Efficient Schools Fund,2819.761,2819.761,2018-19,proposed,budget-fy2018-19-book,124,
435 Energy Efficient Schools Fund,2819.761,2819.761,2018-19,approved,budget-fy2018-19-book,124,
435 Energy Efficient Schools Fund,2819.761,2819.761,2018-19,adopted,budget-fy2018-19-book,124,
438 Facilities Capital Fund,6319.596,6319.596,2015-16,actual-budgetary,budget-fy2018-19-book,125,
438 Facilities Capital Fund,4796.616,4796.616,2016-17,actual-budgetary,budget-fy2018-19-book,125,
438 Facilities Capital Fund,3002.687,3002.687,2017-18,revised,budget-fy2018-19-book,125,
438 Facilities Capital Fund,19787.005,19787.005,2018-19,proposed,budget-fy2018-19-book,125,
438 Facilities Capital Fund,19787.005,19787.005,2018-19,approved,budget-fy2018-19-book,125,
438 Facilities Capital Fund,19787.005,19787.005,2018-19,adopted,budget-fy2018-19-book,125,
445 Capital Asset Renewal Fund,3567.092,3567.092,2015-16,actual-budgetary,budget-fy2018-19-book,127,
445 Capital Asset Renewal Fund,4187.830,4187.830,2016-17,actual-budgetary,budget-fy2018-19-book,127,
445 Capital Asset Renewal Fund,4248.699,4248.699,2017-18,revised,budget-fy2018-19-book,127,
445 Capital Asset Renewal Fund,5089.830,5089.830,2018-19,proposed,budget-fy2018-19-book,127,
445 Capital Asset Renewal Fund,5089.830,5089.830,2018-19,approved,budget-fy2018-19-book,127,
445 Capital Asset Renewal Fund,5089.830,5089.830,2018-19,adopted,budget-fy2018-19-book,127,
450 GO Bonds Fund,358462.844,358462.844,2015-16,actual-budgetary,budget-fy2018-19-book,128,
450 GO Bonds Fund,244242.350,244242.350,2016-17,actual-budgetary,budget-fy2018-19-book,128,
450 GO Bonds Fund,596278.655,596278.655,2017-18,revised,budget-fy2018-19-book,128,
450 GO Bonds Fund,479058.609,479058.609,2018-19,proposed,budget-fy2018-19-book,128,
450 GO Bonds Fund,479058.609,479058.609,2018-19,approved,budget-fy2018-19-book,128,
450 GO Bonds Fund,479058.609,479058.609,2018-19,adopted,budget-fy2018-19-book,128,
470 Partnership Funds,3982.973,3982.973,2015-16,actual-budgetary,budget-fy2018-19-book,131,
470 Partnership Funds,10594.402,10594.402,2016-17,actual-budgetary,budget-fy2018-19-book,131,
470 Partnership Funds,4263.800,4263.800,2017-18,revised,budget-fy2018-19-book,131,
470 Partnership Funds,0.000,0.000,2018-19,proposed,budget-fy2018-19-book,131,
470 Partnership Funds,0.000,0.000,2018-19,approved,budget-fy2018-19-book,131,
470 Partnership Funds,0.000,0.000,2018-19,adopted,budget-fy2018-19-book,131,
601 Self Insurance Fund,7032.331,7032.331,2015-16,actual-budgetary,budget-fy2018-19-book,132,
601 Self Insurance Fund,8016.601,8016.601,2016-17,actual-budgetary,budget-fy2018-19-book,132,
601 Self Insurance Fund,9125.900,9125.900,2017-18,revised,budget-fy2018-19-book,132,
601 Self Insurance Fund,10653.980,10653.980,2018-19,proposed,budget-fy2018-19-book,132,
601 Self Insurance Fund,10678.509,10678.509,2018-19,approved,budget-fy2018-19-book,132,
601 Self Insurance Fund,10678.509,10678.509,2018-19,adopted,budget-fy2018-19-book,132,
Total District Budget (all funds),1211781.113,1211781.113,2015-16,actual-budgetary,budget-fy2018-19-book,70,district total from Requirements by Major Program (All Funds) table
Total District Budget (all funds),1147351.937,1147351.937,2016-17,actual-budgetary,budget-fy2018-19-book,70,district total from Requirements by Major Program (All Funds) table
Total District Budget (all funds),1612624.659,1612624.659,2017-18,revised,budget-fy2018-19-book,62,
Total District Budget (all funds),1500648.749,1500648.749,2018-19,proposed,budget-fy2018-19-book,62,
Total District Budget (all funds),1506991.788,1506991.788,2018-19,approved,budget-fy2018-19-book,62,
Total District Budget (all funds),1506991.788,1506991.788,2018-19,adopted,budget-fy2018-19-book,62,
