group,fte,fy,basis,doc_id,page,notes
Total Instructional Programs,3402.78,2018-19,adopted,budget-fy2018-19-book,45,
Total Instructional Support Services,918.14,2018-19,adopted,budget-fy2018-19-book,45,
Total Support Services General Administration,1087.54,2018-19,adopted,budget-fy2018-19-book,45,
Total Central Support,134.15,2018-19,adopted,budget-fy2018-19-book,45,
Total Enterprise & Community Services,223.04,2018-19,adopted,budget-fy2018-19-book,45,
Total Facilities Acquisition & Construction,35.00,2018-19,adopted,budget-fy2018-19-book,45,
Total FTE (all funds),5800.65,2018-19,adopted,budget-fy2018-19-book,45,book cautions staffing allocations are preliminary until Fall Balancing
Total FTE - Fund 101 General Fund,4999.79,2018-19,adopted,budget-fy2018-19-book,45,
Total FTE - Fund 202 Cafeteria,188.05,2018-19,adopted,budget-fy2018-19-book,45,
Total FTE - Fund 205 Grants,504.15,2018-19,adopted,budget-fy2018-19-book,45,
Total FTE - Fund 299 Dedicated Resource,71.38,2018-19,adopted,budget-fy2018-19-book,45,
Total FTE - Fund 450 GO Bonds,35.00,2018-19,adopted,budget-fy2018-19-book,45,
Total FTE - Fund 601 Self Insurance,2.28,2018-19,adopted,budget-fy2018-19-book,45,
