contingency_k,ending_fund_balance_k,fy,basis,doc_id,page,notes
0.000,37835.045,2015-16,actual-budgetary,budget-fy2018-19-book,74,General Fund only; native unit whole dollars
0.000,20104.463,2016-17,actual-budgetary,budget-fy2018-19-book,74,General Fund only
19733.094,14805.081,2017-18,revised,budget-fy2018-19-book,74,General Fund only
23789.826,0.000,2018-19,proposed,budget-fy2018-19-book,74,General Fund only
25252.055,0.000,2018-19,approved,budget-fy2018-19-book,74,General Fund only
25252.055,0.000,2018-19,adopted,budget-fy2018-19-book,74,General Fund only
437472.786,43876.325,2017-18,revised,budget-fy2018-19-book,69,all funds combined
325144.011,26650.353,2018-19,proposed,budget-fy2018-19-book,69,all funds combined
326491.640,27145.569,2018-19,approved,budget-fy2018-19-book,69,all funds combined
326491.640,27145.569,2018-19,adopted,budget-fy2018-19-book,69,all funds combined
