source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,98804,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,native unit thousands; 'Summary of Resources by Major Object - 100 - General Funds'; dashes recorded as 0; 2025-26 interfund transfer $23.962M was the PERS Rate Stabilization drawdown; Proposed/Approved 2026-27 identical to Adopted
Beginning Fund Balance,105497,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
Beginning Fund Balance,86078,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
Beginning Fund Balance,45000,2025-26,adopted,budget-fy2026-27-vol1,108,
Beginning Fund Balance,41000,2026-27,adopted,budget-fy2026-27-vol1,108,
Current Year Property Taxes other than Local Option,311938,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
Current Year Property Taxes other than Local Option,339436,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
Current Year Property Taxes other than Local Option,347524,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
Current Year Property Taxes other than Local Option,359464,2025-26,adopted,budget-fy2026-27-vol1,108,
Current Year Property Taxes other than Local Option,358223,2026-27,adopted,budget-fy2026-27-vol1,108,
Current Year Local Option Property Taxes,109213,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
Current Year Local Option Property Taxes,106896,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
Current Year Local Option Property Taxes,104123,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
Current Year Local Option Property Taxes,109222,2025-26,adopted,budget-fy2026-27-vol1,108,
Current Year Local Option Property Taxes,103938,2026-27,adopted,budget-fy2026-27-vol1,108,
Other Revenue from Local Sources,28028,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
Other Revenue from Local Sources,33399,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
Other Revenue from Local Sources,30018,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
Other Revenue from Local Sources,25831,2025-26,adopted,budget-fy2026-27-vol1,108,
Other Revenue from Local Sources,28701,2026-27,adopted,budget-fy2026-27-vol1,108,
2000 - Revenue - Intermediate Sources,8977,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
2000 - Revenue - Intermediate Sources,7222,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
2000 - Revenue - Intermediate Sources,12727,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
2000 - Revenue - Intermediate Sources,7847,2025-26,adopted,budget-fy2026-27-vol1,108,
2000 - Revenue - Intermediate Sources,9791,2026-27,adopted,budget-fy2026-27-vol1,108,
3000 - Revenue from State Sources,272033,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
3000 - Revenue from State Sources,280781,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
3000 - Revenue from State Sources,275124,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
3000 - Revenue from State Sources,297191,2025-26,adopted,budget-fy2026-27-vol1,108,
3000 - Revenue from State Sources,317100,2026-27,adopted,budget-fy2026-27-vol1,108,
4000 - Revenue from Federal Sources,21,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
4000 - Revenue from Federal Sources,28,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
4000 - Revenue from Federal Sources,146,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
4000 - Revenue from Federal Sources,15,2025-26,adopted,budget-fy2026-27-vol1,108,
4000 - Revenue from Federal Sources,415,2026-27,adopted,budget-fy2026-27-vol1,108,
5200 - Interfund Transfers,0,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
5200 - Interfund Transfers,0,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
5200 - Interfund Transfers,0,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
5200 - Interfund Transfers,23962,2025-26,adopted,budget-fy2026-27-vol1,108,
5200 - Interfund Transfers,394,2026-27,adopted,budget-fy2026-27-vol1,108,
All Other Budget Resources,1024,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
All Other Budget Resources,115,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
All Other Budget Resources,94,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
All Other Budget Resources,50,2025-26,adopted,budget-fy2026-27-vol1,108,
All Other Budget Resources,2550,2026-27,adopted,budget-fy2026-27-vol1,108,
Total Resources,830038,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,
Total Resources,873375,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
Total Resources,855834,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
Total Resources,868580,2025-26,adopted,budget-fy2026-27-vol1,108,
Total Resources,862112,2026-27,adopted,budget-fy2026-27-vol1,108,
