object_code,label,amount_k,fy,basis,doc_id,page,notes
111,Licensed Salaries,245309,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,native unit thousands; PPS prints salary sub-objects 111/1121/1122/113 plus an uncoded 'OTHER SALARIES' line (recorded as code 100); dashes recorded as 0; salaries+benefits 2026-27 adopted = $680.5M / 78.9% of GF per narrative p.107; Proposed/Approved 2026-27 identical to Adopted
111,Licensed Salaries,260283,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
111,Licensed Salaries,274755,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
111,Licensed Salaries,280529,2025-26,adopted,budget-fy2026-27-vol1,110,
111,Licensed Salaries,276175,2026-27,adopted,budget-fy2026-27-vol1,110,
1121,Classified - Represented,58986,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
1121,Classified - Represented,64252,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
1121,Classified - Represented,66903,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
1121,Classified - Represented,69907,2025-26,adopted,budget-fy2026-27-vol1,110,
1121,Classified - Represented,65416,2026-27,adopted,budget-fy2026-27-vol1,110,
1122,Non-Represented Staff,34823,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
1122,Non-Represented Staff,36772,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
1122,Non-Represented Staff,38493,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
1122,Non-Represented Staff,39886,2025-26,adopted,budget-fy2026-27-vol1,110,
1122,Non-Represented Staff,35185,2026-27,adopted,budget-fy2026-27-vol1,110,
113,Administrators,34163,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
113,Administrators,37512,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
113,Administrators,38979,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
113,Administrators,38740,2025-26,adopted,budget-fy2026-27-vol1,110,
113,Administrators,33957,2026-27,adopted,budget-fy2026-27-vol1,110,
100,Other Salaries,28478,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
100,Other Salaries,33157,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
100,Other Salaries,33916,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
100,Other Salaries,13887,2025-26,adopted,budget-fy2026-27-vol1,110,
100,Other Salaries,24531,2026-27,adopted,budget-fy2026-27-vol1,110,
200,Associated Payroll Costs,188552,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
200,Associated Payroll Costs,206210,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
200,Associated Payroll Costs,212696,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
200,Associated Payroll Costs,248507,2025-26,adopted,budget-fy2026-27-vol1,110,
200,Associated Payroll Costs,245251,2026-27,adopted,budget-fy2026-27-vol1,110,
300,Purchased Services,106798,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
300,Purchased Services,119699,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
300,Purchased Services,117095,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
300,Purchased Services,104835,2025-26,adopted,budget-fy2026-27-vol1,110,
300,Purchased Services,110672,2026-27,adopted,budget-fy2026-27-vol1,110,
400,Supplies and Materials,14633,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
400,Supplies and Materials,16856,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
400,Supplies and Materials,14878,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
400,Supplies and Materials,11674,2025-26,adopted,budget-fy2026-27-vol1,110,
400,Supplies and Materials,12736,2026-27,adopted,budget-fy2026-27-vol1,110,
500,Capital Outlay,3207,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
500,Capital Outlay,1829,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
500,Capital Outlay,938,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
500,Capital Outlay,912,2025-26,adopted,budget-fy2026-27-vol1,110,
500,Capital Outlay,1047,2026-27,adopted,budget-fy2026-27-vol1,110,
600,Other Objects,8311,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
600,Other Objects,9839,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
600,Other Objects,2214,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
600,Other Objects,1349,2025-26,adopted,budget-fy2026-27-vol1,110,
600,Other Objects,1332,2026-27,adopted,budget-fy2026-27-vol1,110,
700,Transfers,1282,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
700,Transfers,887,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
700,Transfers,10643,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
700,Transfers,17176,2025-26,adopted,budget-fy2026-27-vol1,110,
700,Transfers,14755,2026-27,adopted,budget-fy2026-27-vol1,110,
581000,Operating Contingency,0,2022-23,actual-budgetary,budget-fy2026-27-vol1,110,
581000,Operating Contingency,0,2023-24,actual-budgetary,budget-fy2026-27-vol1,110,
581000,Operating Contingency,0,2024-25,actual-budgetary,budget-fy2026-27-vol1,110,
