fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
100 General Fund,830038,830038,2022-23,actual-budgetary,budget-fy2026-27-vol1,108,"native unit thousands of dollars; budget presentation: per-fund resources = requirements, single total emitted in both columns; Proposed 2026-27 and Approved 2026-27 columns are identical to Adopted 2026-27 throughout this book; requirements tables at pages 109-110 print identical fund totals"
100 General Fund,873375,873375,2023-24,actual-budgetary,budget-fy2026-27-vol1,108,
100 General Fund,855834,855834,2024-25,actual-budgetary,budget-fy2026-27-vol1,108,
100 General Fund,868580,868580,2025-26,adopted,budget-fy2026-27-vol1,108,
100 General Fund,862112,862112,2026-27,adopted,budget-fy2026-27-vol1,108,
201 Student Body Activity Fund,10862,10862,2022-23,actual-budgetary,budget-fy2026-27-vol1,125,
201 Student Body Activity Fund,11166,11166,2023-24,actual-budgetary,budget-fy2026-27-vol1,125,
201 Student Body Activity Fund,11617,11617,2024-25,actual-budgetary,budget-fy2026-27-vol1,125,
201 Student Body Activity Fund,10000,10000,2025-26,adopted,budget-fy2026-27-vol1,125,
201 Student Body Activity Fund,10000,10000,2026-27,adopted,budget-fy2026-27-vol1,125,
202 Cafeteria Fund,26916,26916,2022-23,actual-budgetary,budget-fy2026-27-vol1,128,
202 Cafeteria Fund,24206,24206,2023-24,actual-budgetary,budget-fy2026-27-vol1,128,
202 Cafeteria Fund,25490,25490,2024-25,actual-budgetary,budget-fy2026-27-vol1,128,
202 Cafeteria Fund,28638,28638,2025-26,adopted,budget-fy2026-27-vol1,128,
202 Cafeteria Fund,26531,26531,2026-27,adopted,budget-fy2026-27-vol1,128,
205 Grants Fund,127533,127533,2022-23,actual-budgetary,budget-fy2026-27-vol1,133,
205 Grants Fund,123089,123089,2023-24,actual-budgetary,budget-fy2026-27-vol1,133,
205 Grants Fund,97573,97573,2024-25,actual-budgetary,budget-fy2026-27-vol1,133,
205 Grants Fund,87793,87793,2025-26,adopted,budget-fy2026-27-vol1,133,
205 Grants Fund,100112,100112,2026-27,adopted,budget-fy2026-27-vol1,133,
225 PERS Rate Stabilization Reserve Fund,20209,20209,2022-23,actual-budgetary,budget-fy2026-27-vol1,139,fund nearly emptied: 2025-26 adopted transferred $23.962M to General Fund; only $394K remains in 2026-27
225 PERS Rate Stabilization Reserve Fund,21573,21573,2023-24,actual-budgetary,budget-fy2026-27-vol1,139,
225 PERS Rate Stabilization Reserve Fund,22824,22824,2024-25,actual-budgetary,budget-fy2026-27-vol1,139,
225 PERS Rate Stabilization Reserve Fund,23962,23962,2025-26,adopted,budget-fy2026-27-vol1,139,
225 PERS Rate Stabilization Reserve Fund,394,394,2026-27,adopted,budget-fy2026-27-vol1,139,
251 Student Investment Account Fund,37621,37621,2022-23,actual-budgetary,budget-fy2026-27-vol1,142,
251 Student Investment Account Fund,40408,40408,2023-24,actual-budgetary,budget-fy2026-27-vol1,142,
251 Student Investment Account Fund,48606,48606,2024-25,actual-budgetary,budget-fy2026-27-vol1,142,
251 Student Investment Account Fund,45163,45163,2025-26,adopted,budget-fy2026-27-vol1,142,
251 Student Investment Account Fund,45464,45464,2026-27,adopted,budget-fy2026-27-vol1,142,
252 Measure 98 - High School Success Fund,13163,13163,2025-26,adopted,budget-fy2026-27-vol1,147,fund formally created in the 2025-26 budget process (M98/HSS split out of other funds); no pre-2025-26 columns printed (dashes)
252 Measure 98 - High School Success Fund,13139,13139,2026-27,adopted,budget-fy2026-27-vol1,147,
299 Dedicated Resource Fund,26210,26210,2022-23,actual-budgetary,budget-fy2026-27-vol1,151,
299 Dedicated Resource Fund,27118,27118,2023-24,actual-budgetary,budget-fy2026-27-vol1,151,
299 Dedicated Resource Fund,26968,26968,2024-25,actual-budgetary,budget-fy2026-27-vol1,151,
299 Dedicated Resource Fund,16086,16086,2025-26,adopted,budget-fy2026-27-vol1,151,
299 Dedicated Resource Fund,28297,28297,2026-27,adopted,budget-fy2026-27-vol1,151,
308 PERS UAL Debt Service Fund,83232,83232,2022-23,actual-budgetary,budget-fy2026-27-vol1,164,
308 PERS UAL Debt Service Fund,86905,86905,2023-24,actual-budgetary,budget-fy2026-27-vol1,164,
308 PERS UAL Debt Service Fund,88970,88970,2024-25,actual-budgetary,budget-fy2026-27-vol1,164,
308 PERS UAL Debt Service Fund,93220,93220,2025-26,adopted,budget-fy2026-27-vol1,164,
308 PERS UAL Debt Service Fund,96858,96858,2026-27,adopted,budget-fy2026-27-vol1,164,
320 Full Faith and Credit Debt Service Fund,1241,1241,2022-23,actual-budgetary,budget-fy2026-27-vol1,167,
320 Full Faith and Credit Debt Service Fund,619,619,2023-24,actual-budgetary,budget-fy2026-27-vol1,167,
320 Full Faith and Credit Debt Service Fund,619,619,2024-25,actual-budgetary,budget-fy2026-27-vol1,167,
320 Full Faith and Credit Debt Service Fund,619,619,2025-26,adopted,budget-fy2026-27-vol1,167,
320 Full Faith and Credit Debt Service Fund,618,618,2026-27,adopted,budget-fy2026-27-vol1,167,
350 GO Bonds Debt Service Fund,160569,160569,2022-23,actual-budgetary,budget-fy2026-27-vol1,170,
350 GO Bonds Debt Service Fund,178061,178061,2023-24,actual-budgetary,budget-fy2026-27-vol1,170,
350 GO Bonds Debt Service Fund,176465,176465,2024-25,actual-budgetary,budget-fy2026-27-vol1,170,
350 GO Bonds Debt Service Fund,178851,178851,2025-26,adopted,budget-fy2026-27-vol1,170,
350 GO Bonds Debt Service Fund,181400,181400,2026-27,adopted,budget-fy2026-27-vol1,170,
