group,fte,fy,basis,doc_id,page,notes
1000 Instruction - all funds,3260.78,2025-26,adopted,budget-fy2026-27-vol1,92,FTE as printed (not thousands); Budget FTE printed only for the Adopted 2025-26 and Adopted 2026-27 columns of the requirements-by-function tables; all-funds FTE down 322.3 from 2025-26 per narrative; granular FTE by function and employee type (5 years) at printed pp.228-229 (txt pp.235-236) is partially garbled in the text layer and was not extracted
1000 Instruction - all funds,3172.11,2026-27,adopted,budget-fy2026-27-vol1,92,
2000 Support Services - all funds,2294.91,2025-26,adopted,budget-fy2026-27-vol1,92,
2000 Support Services - all funds,2089.9,2026-27,adopted,budget-fy2026-27-vol1,92,
3000 Enterprise and Community Services - all funds,233.53,2025-26,adopted,budget-fy2026-27-vol1,92,
3000 Enterprise and Community Services - all funds,222.16,2026-27,adopted,budget-fy2026-27-vol1,92,
4000 Facilities Acquisition and Construction - all funds,46.25,2025-26,adopted,budget-fy2026-27-vol1,92,
4000 Facilities Acquisition and Construction - all funds,29.0,2026-27,adopted,budget-fy2026-27-vol1,92,
Total - all funds,5835.46,2025-26,adopted,budget-fy2026-27-vol1,92,
Total - all funds,5513.16,2026-27,adopted,budget-fy2026-27-vol1,92,
1000 Instruction - Fund 100 General Fund,2817.71,2025-26,adopted,budget-fy2026-27-vol1,109,
1000 Instruction - Fund 100 General Fund,2675.93,2026-27,adopted,budget-fy2026-27-vol1,109,
2000 Support Services - Fund 100 General Fund,1982.05,2025-26,adopted,budget-fy2026-27-vol1,109,
2000 Support Services - Fund 100 General Fund,1793.16,2026-27,adopted,budget-fy2026-27-vol1,109,
3000 Enterprise and Community Services - Fund 100 General Fund,17.75,2025-26,adopted,budget-fy2026-27-vol1,109,
3000 Enterprise and Community Services - Fund 100 General Fund,12.25,2026-27,adopted,budget-fy2026-27-vol1,109,
Total - Fund 100 General Fund,4817.5,2025-26,adopted,budget-fy2026-27-vol1,109,
Total - Fund 100 General Fund,4481.34,2026-27,adopted,budget-fy2026-27-vol1,109,
1000 Instruction - Fund 200 Special Revenue,443.07,2025-26,adopted,budget-fy2026-27-vol1,122,
1000 Instruction - Fund 200 Special Revenue,496.18,2026-27,adopted,budget-fy2026-27-vol1,122,
2000 Support Services - Fund 200 Special Revenue,306.06,2025-26,adopted,budget-fy2026-27-vol1,122,
2000 Support Services - Fund 200 Special Revenue,293.74,2026-27,adopted,budget-fy2026-27-vol1,122,
3000 Enterprise and Community Services - Fund 200 Special Revenue,215.78,2025-26,adopted,budget-fy2026-27-vol1,122,
3000 Enterprise and Community Services - Fund 200 Special Revenue,209.91,2026-27,adopted,budget-fy2026-27-vol1,122,
Total - Fund 200 Special Revenue,964.91,2025-26,adopted,budget-fy2026-27-vol1,122,
Total - Fund 200 Special Revenue,999.82,2026-27,adopted,budget-fy2026-27-vol1,122,
