source,amount_k,fy,basis,doc_id,page,notes
Beginning Fund Balance,37835,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,native unit thousands; Summary of Resources by Major Object - General Funds
Beginning Fund Balance,20104,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,
Beginning Fund Balance,38282,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,
Beginning Fund Balance,34112,2019-20,revised,budget-fy2020-21-vol1,117,
Beginning Fund Balance,46631,2020-21,proposed,budget-fy2020-21-vol1,117,
Beginning Fund Balance,46631,2020-21,approved,budget-fy2020-21-vol1,117,
Beginning Fund Balance,46631,2020-21,adopted,budget-fy2020-21-vol1,117,
Current Year Property Taxes Other Than Local Option,237062,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,
Current Year Property Taxes Other Than Local Option,248707,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,
Current Year Property Taxes Other Than Local Option,257076,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,
Current Year Property Taxes Other Than Local Option,265634,2019-20,revised,budget-fy2020-21-vol1,117,
Current Year Property Taxes Other Than Local Option,277706,2020-21,proposed,budget-fy2020-21-vol1,117,
Current Year Property Taxes Other Than Local Option,277706,2020-21,approved,budget-fy2020-21-vol1,117,
Current Year Property Taxes Other Than Local Option,277706,2020-21,adopted,budget-fy2020-21-vol1,117,
Current Year Local Option Property Taxes,82878,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,
Current Year Local Option Property Taxes,88405,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,
Current Year Local Option Property Taxes,94272,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,
Current Year Local Option Property Taxes,97350,2019-20,revised,budget-fy2020-21-vol1,117,
Current Year Local Option Property Taxes,100366,2020-21,proposed,budget-fy2020-21-vol1,117,
Current Year Local Option Property Taxes,100366,2020-21,approved,budget-fy2020-21-vol1,117,
Current Year Local Option Property Taxes,100366,2020-21,adopted,budget-fy2020-21-vol1,117,
Other Revenue From Local Sources,15686,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,
Other Revenue From Local Sources,17467,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,
Other Revenue From Local Sources,26692,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,
Other Revenue From Local Sources,19906,2019-20,revised,budget-fy2020-21-vol1,117,
Other Revenue From Local Sources,18395,2020-21,proposed,budget-fy2020-21-vol1,117,
