fund_name,resources_k,requirements_k,fy,basis,doc_id,page,notes
100 - General Fund,600301,600301,2016-17,actual-budgetary,budget-fy2020-21-vol1,117,"native unit thousands; leaf funds only (fund-group subtotals omitted); per Oregon budget law resources = requirements per fund, both printed identically on each fund's detail pages; GF summary p.117 (resources) / p.118 (requirements)"
100 - General Fund,633966,633966,2017-18,actual-budgetary,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements)
100 - General Fund,660592,660592,2018-19,actual-budgetary,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements)
100 - General Fund,691767,691767,2019-20,revised,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements)
100 - General Fund,729654,729654,2020-21,proposed,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements)
100 - General Fund,729654,729654,2020-21,approved,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements)
100 - General Fund,729654,729654,2020-21,adopted,budget-fy2020-21-vol1,117,GF summary p.117 (resources) / p.118 (requirements)
201 - Student Body Activity Fund,11585,11585,2016-17,actual-budgetary,budget-fy2020-21-vol1,134,
201 - Student Body Activity Fund,11561,11561,2017-18,actual-budgetary,budget-fy2020-21-vol1,134,
201 - Student Body Activity Fund,11560,11560,2018-19,actual-budgetary,budget-fy2020-21-vol1,134,
201 - Student Body Activity Fund,13819,13819,2019-20,revised,budget-fy2020-21-vol1,134,
201 - Student Body Activity Fund,13568,13568,2020-21,proposed,budget-fy2020-21-vol1,134,
201 - Student Body Activity Fund,13568,13568,2020-21,approved,budget-fy2020-21-vol1,134,
201 - Student Body Activity Fund,13568,13568,2020-21,adopted,budget-fy2020-21-vol1,134,
202 - Cafeteria Fund,24468,24468,2016-17,actual-budgetary,budget-fy2020-21-vol1,137,
202 - Cafeteria Fund,23206,23206,2017-18,actual-budgetary,budget-fy2020-21-vol1,137,
202 - Cafeteria Fund,22244,22244,2018-19,actual-budgetary,budget-fy2020-21-vol1,137,
202 - Cafeteria Fund,21596,21596,2019-20,revised,budget-fy2020-21-vol1,137,
202 - Cafeteria Fund,21559,21559,2020-21,proposed,budget-fy2020-21-vol1,137,
202 - Cafeteria Fund,21559,21559,2020-21,approved,budget-fy2020-21-vol1,137,
202 - Cafeteria Fund,21559,21559,2020-21,adopted,budget-fy2020-21-vol1,137,
205 - Grants Fund,59803,59803,2016-17,actual-budgetary,budget-fy2020-21-vol1,141,
205 - Grants Fund,59778,59778,2017-18,actual-budgetary,budget-fy2020-21-vol1,141,
205 - Grants Fund,66649,66649,2018-19,actual-budgetary,budget-fy2020-21-vol1,141,
205 - Grants Fund,67526,67526,2019-20,revised,budget-fy2020-21-vol1,141,
205 - Grants Fund,80856,80856,2020-21,proposed,budget-fy2020-21-vol1,141,
205 - Grants Fund,80856,80856,2020-21,approved,budget-fy2020-21-vol1,141,
205 - Grants Fund,80856,80856,2020-21,adopted,budget-fy2020-21-vol1,141,
225 - PERS Rate Stabilization Reserve Fund,16813,16813,2016-17,actual-budgetary,budget-fy2020-21-vol1,151,
225 - PERS Rate Stabilization Reserve Fund,17209,17209,2017-18,actual-budgetary,budget-fy2020-21-vol1,151,
225 - PERS Rate Stabilization Reserve Fund,17954,17954,2018-19,actual-budgetary,budget-fy2020-21-vol1,151,
225 - PERS Rate Stabilization Reserve Fund,18275,18275,2019-20,revised,budget-fy2020-21-vol1,151,
225 - PERS Rate Stabilization Reserve Fund,18940,18940,2020-21,proposed,budget-fy2020-21-vol1,151,
225 - PERS Rate Stabilization Reserve Fund,18940,18940,2020-21,approved,budget-fy2020-21-vol1,151,
225 - PERS Rate Stabilization Reserve Fund,18940,18940,2020-21,adopted,budget-fy2020-21-vol1,151,
251 - Student Investment Account Fund,0,0,2016-17,actual-budgetary,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-'; printed as '-'
251 - Student Investment Account Fund,0,0,2017-18,actual-budgetary,budget-fy2020-21-vol1,154,new fund in 2020-21 (Student Success Act / SIA); prior years printed as '-'; printed as '-'
