bond,project,original_budget_k,current_estimate_k,spent_k,as_of,doc_id,page,notes
2012,Franklin HS Modernization,81586,113946,112575,2020-01-17,budget-fy2020-21-vol1,221,"source prints whole dollars, converted to thousands; current_estimate_k = Current Budget (1/17/2020); spent_k = Actuals Approved"
2012,Grant HS Modernization,88337,159220,153255,2020-01-17,budget-fy2020-21-vol1,221,
2012,Roosevelt HS Modernization,68419,102073,99493,2020-01-17,budget-fy2020-21-vol1,221,
2012,Faubion Replacement,27036,50036,49802,2020-01-17,budget-fy2020-21-vol1,221,
2012,Improvement Projects,67742,85789,84769,2020-01-17,budget-fy2020-21-vol1,221,
2012,Swing Sites & Transportation,9550,5235,5235,2020-01-17,budget-fy2020-21-vol1,221,
2012,Debt Repayment,45000,45000,45000,2020-01-17,budget-fy2020-21-vol1,221,
2012,2012 Bond Program (program-level),93181,38967,26195,2020-01-17,budget-fy2020-21-vol1,221,
2012,2012 Bond TOTAL,482000,601620,577680,2020-01-17,budget-fy2020-21-vol1,221,"current-budget total 611,620K including 10,000K Additional Funding Resource (If/When Needed) line"
2017,Benson HS Modernization,202000,78703,5762,2020-01-17,budget-fy2020-21-vol1,221,current budget reflects only funded phases; future bond planned to complete Benson (p.219)
2017,Kellogg Replacement,45000,59811,16341,2020-01-17,budget-fy2020-21-vol1,221,
2017,Lincoln HS Replacement,187000,242500,12199,2020-01-17,budget-fy2020-21-vol1,221,
2017,Madison HS Modernization,146000,201503,37416,2020-01-17,budget-fy2020-21-vol1,221,
2017,2017 Bond Program (program-level),210000,130401,15128,2020-01-17,budget-fy2020-21-vol1,221,
2017,2017 Bond TOTAL,790000,824503,153418,2020-01-17,budget-fy2020-21-vol1,221,includes Environmental Health & Safety categories (no original budgets printed) and pre-bond pre-design lines
2012+2017,Combined Capital Improvement Bond Program TOTAL,1272000,1436123,731098,2020-01-17,budget-fy2020-21-vol1,221,
