group,fte,fy,basis,doc_id,page,notes
All Funds: 1000 Instruction,3439.77,2019-20,revised,budget-fy2020-21-vol1,109,Budget FTE columns of Summary of Requirements by Major Function - All Funds
All Funds: 1000 Instruction,3644.4,2020-21,adopted,budget-fy2020-21-vol1,109,
All Funds: 2000 Support Services,2222.51,2019-20,revised,budget-fy2020-21-vol1,109,
All Funds: 2000 Support Services,2425.7,2020-21,adopted,budget-fy2020-21-vol1,109,
All Funds: 3000 Enterprise And Community Svcs,241.05,2019-20,revised,budget-fy2020-21-vol1,109,
All Funds: 3000 Enterprise And Community Svcs,237.17,2020-21,adopted,budget-fy2020-21-vol1,109,
All Funds: 4000 Facilities Acquisition And Con,27.0,2019-20,revised,budget-fy2020-21-vol1,109,
All Funds: 4000 Facilities Acquisition And Con,40.8,2020-21,adopted,budget-fy2020-21-vol1,109,
All Funds: TOTAL,5930.33,2019-20,revised,budget-fy2020-21-vol1,109,
All Funds: TOTAL,6348.07,2020-21,adopted,budget-fy2020-21-vol1,109,
General Fund: 1000 Instruction,3044.91,2019-20,revised,budget-fy2020-21-vol1,118,Budget FTE columns of Summary of Requirements by Major Function - General Funds
General Fund: 1000 Instruction,3106.24,2020-21,adopted,budget-fy2020-21-vol1,118,
General Fund: 2000 Support Services,2043.46,2019-20,revised,budget-fy2020-21-vol1,118,Budget FTE columns of Summary of Requirements by Major Function - General Funds
General Fund: 2000 Support Services,2145.07,2020-21,adopted,budget-fy2020-21-vol1,118,
General Fund: 3000 Enterprise And Community Svcs,13.38,2019-20,revised,budget-fy2020-21-vol1,118,Budget FTE columns of Summary of Requirements by Major Function - General Funds
General Fund: 3000 Enterprise And Community Svcs,11.63,2020-21,adopted,budget-fy2020-21-vol1,118,
General Fund: TOTAL,5101.75,2019-20,revised,budget-fy2020-21-vol1,118,Budget FTE columns of Summary of Requirements by Major Function - General Funds
General Fund: TOTAL,5262.94,2020-21,adopted,budget-fy2020-21-vol1,118,
All Funds: TOTAL,5866.1,2016-17,actual-budgetary,budget-fy2020-21-vol1,248,Grand Total of FTE by Major Function and Employee Type (PBAM) table; column header uses calendar-style year (2017 Actual = FY2016-17)
All Funds: TOTAL,5775.25,2017-18,actual-budgetary,budget-fy2020-21-vol1,248,Grand Total of FTE by Major Function and Employee Type (PBAM) table; column header uses calendar-style year (2017 Actual = FY2016-17)
All Funds: TOTAL,5836.49,2018-19,actual-budgetary,budget-fy2020-21-vol1,248,Grand Total of FTE by Major Function and Employee Type (PBAM) table; column header uses calendar-style year (2017 Actual = FY2016-17)
